A0A178UD24,AT5G13420
A0A178VX82,AT2G36580
A0A178WJZ2,AT1G30820
A0A1P8ANY1,AT1G14810
A0A1P8AW36,AT1G51720
A0A1P8B6F9,AT4G02120
A0A384K8P2,AT3G12670
A0A384KII3,AT5G63680
A0A384KLZ3,AT3G55410
A0A384L5D5,AT5G08570
A0A5S9YI34,AT5G65750
A0A654EZT9,AT2G37690
A0A654FAY0,AT3G25960
A0A654FQL5,AT4G18440
A1A6H3,AT1G17160
A8MR07,AT3G52990
B5X574,AT5G65690
B9DGD6,AT5G36880
B9DHD3,AT1G71920
F4HUC4,AT1G08065
F4I1A6,AT1G22210
F4I1L9,AT1G36280
F4I6G9,AT1G30820
F4I7I0,AT1G17290
F4I8M8,AT1G78050
F4I8U2,AT1G05610
F4IAG2,AT1G11720
F4IC59,AT1G12230
F4IHR4,unknown_1
F4IW47,AT2G45290
F4IWV2,AT3G55410
F4JGR5,AT4G04040
F4JIK2,AT4G20990
F4JJJ3,AT4G21490
F4JWS8,AT5G25450
F4KGQ0,AT5G03690
O03042,ArthCp030
O04130,AT1G17745
O04308,AT3G16480
O04499,AT1G09780
O04846,AT3G52720
O04904,AT4G22930
O04905,AT5G26667
O04983,AT5G35360
O22048,AT3G27620
O22049,AT5G64210
O22229,AT2G41680
O22241,AT3G44720
O22682,AT3G03630
O22718,AT1G60810
O22765,AT4G02610
O22769,AT4G02580
O22912,AT2G47380
O23254,AT4G13930
O23255,AT4G13940
O23324,AT4G14680
O23346,AT4G14910
O23404,AT4G15530
O23553,AT4G17090
O23653,AT5G14060
O23913,AT3G22360
O48946,AT4G32410
O48947,AT4G39350
O49299,AT1G23190
O49347,AT1G67740
O49485,AT4G34200
O49506,AT4G18360
O50008,AT5G17920
O50039,AT1G75330
O64753,AT2G34890
O64767,AT2G35040
O64888,AT2G44530
O64903,AT5G63310
O65258,AT4G00490
O65396,AT1G11860
O65581,AT4G26530
O80452,AT2G38280
O80526,AT1G09430
O80574,AT2G44040
O80585,AT2G44160
O80634,AT2G39470
O80738,AT1G60140
O80874,AT2G29990
O80988,AT2G26080
O81796,AT4G35650
O81852,AT4G19710
O82191,AT2G19900
O82399,AT2G22780
O82514,AT5G63400
O82662,AT2G20420
O82663,AT5G66760
O82768,AT1G31860
O82782,AT2G36230
O82793,AT2G46860
O82796,AT1G18640
P05466,AT2G45300
P09468,ArthCp028
P0CC32,ArthCp068
P0CC33,ArthCp086
P0DI07,AT1G71920
P0DKC3,AT5G36700
P0DKC4,AT5G36700
P0DKI0,AT4G32210
P0DKI1,AT4G32210
P10795,AT1G67090
P10796,AT5G38430
P10797,AT5G38420
P10798,AT5G38410
P11035,AT1G37130
P11832,AT1G77760
P14671,AT5G54810
P17562,AT4G01850
P17597,AT3G48560
P19366,ArthCp029
P20115,AT2G44350
P21216,AT2G18230
P22197,AT4G26520
P23321,AT5G66570
P23686,AT1G02500
P25269,AT4G27070
P25696,AT2G36530
P25697,AT1G32060
P25819,AT4G35090
P25851,AT3G54050
P25853,AT4G15210
P25856,AT3G26650
P25857,AT1G42970
P25858,AT3G04120
P26288,ArthCp074
P26289,ArthCp076
P27140,AT3G01500
P27202,AT1G79040
P28297,AT3G21720
P29976,AT4G39980
P31166,AT1G27450
P32068,AT5G05730
P32069,AT2G29690
P32746,AT5G23300
P34047,AT3G22425
P34795,AT5G42740
P38025,AT3G21110
P39207,AT4G09320
P42737,AT5G14740
P42738,AT3G29200
P42770,AT3G54660
P42792,AT2G07727
P46248,AT4G31990
P46283,AT3G55800
P46637,AT4G08900
P46643,AT2G30970
P46644,AT5G11520
P46645,AT5G19550
P46646,AT1G62800
P47996,AT1G79470
P47998,AT4G14880
P47999,AT2G43750
P48491,AT3G55440
P49040,AT5G20830
P49077,AT3G20330
P49078,AT3G47340
P49107,AT5G64040
P49572,AT2G04400
P50287,AT5G08100
P50318,AT1G56190
P50651,AT3G23580
P52420,AT1G09830
P52422,AT1G31220
P52901,AT1G59900
P53780,AT3G57050
P54887,AT2G39800
P54888,AT3G55610
P54904,AT5G14800
P55217,AT3G01120
P55228,AT5G48300
P55229,AT5G19220
P55230,AT1G27680
P55231,AT4G39210
P56751,ArthCp027
P56752,ArthCp071
P56753,ArthCp080
P56754,ArthCp025
P56755,ArthCp078
P56756,ArthCp026
P56757,ArthCp007
P56758,ArthCp010
P56759,ArthCp008
P56760,ArthCp009
P56761,ArthCp017
P56765,ArthCp031
P56766,ArthCp022
P56767,ArthCp021
P56768,ArthCp032
P56769,ArthCp042
P56771,ArthCp035
P56773,ArthCp053
P56774,ArthCp054
P56775,ArthCp041
P56776,ArthCp040
P56777,ArthCp049
P56778,ArthCp018
P56779,ArthCp039
P56780,ArthCp052
P56781,ArthCp036
P56782,ArthCp005
P56790,ArthCp019
P57106,AT5G43330
P57720,AT1G48850
P57751,AT5G17310
P60112,AT2G07671
P60129,ArthCp037
P60497,unknown_2
P60620,unknown_3
P61039,ArthCp015
P61839,ArthCp050
P62090,ArthCp075
P62095,ArthCp038
P62100,ArthCp006
P62109,ArthCp016
P62113,ArthCp051
P68209,AT5G08300
P83483,AT5G08670
P83484,AT5G08690
P83755,ArthCp002
P92533,unknown_4
P92547,unknown_5
P92549,unknown_6
P92979,AT4G04610
P92980,AT4G21990
P92981,AT1G62180
P92983,AT3G30775
P93032,AT2G17130
P93033,AT2G47510
P93285,unknown_7
P93306,unknown_8
P93313,unknown_9
P93757,AT2G41880
P93819,AT1G04410
P93832,AT1G80560
P93834,AT2G19860
Q00218,AT4G33510
Q00917,AT5G49190
Q01908,AT4G04640
Q01909,AT1G15700
Q02166,AT5G17990
Q04613,unknown_10
