,Enzyme,Subsystem
0,A0A178UD24,pentose phosphate pathway
1,A0A178VX82,glycolysis
2,A0A178WJZ2,CTP synthesis
3,A0A1P8ANY1,lysine synthesis
4,A0A1P8AW36,glutamate synthesis
5,A0A1P8B6F9,CTP synthesis
6,A0A384K8P2,CTP synthesis
7,A0A384KII3,glycolysis
8,A0A384KLZ3,tricarboxylic acid cycle
9,A0A384L5D5,glycolysis
10,A0A5S9YI34,tricarboxylic acid cycle
11,A0A654EZT9,IMP synthesis
12,A0A654FAY0,glycolysis
13,A0A654FQL5,IMP synthesis
14,A0A654FQL5,AMP synthesis
15,A1A6H3,ADN salvage
16,A8MR07,glycolysis
17,B5X574,gluconeogenesis
18,B9DGD6,actyl-coenzyme A synthesis
19,B9DHD3,histidine synthesis
20,F4HUC4,carbon fixation
21,F4I1A6,trehalose synthesis
22,F4I1L9,IMP synthesis
23,F4I1L9,AMP synthesis
24,F4I6G9,CTP synthesis
25,F4I7I0,alanine synthesis
26,F4I8M8,glycolysis
27,F4I8U2,starch synthesis
28,F4IAG2,starch synthesis
29,F4IC59,pentose phosphate pathway
30,F4IHR4,carbon fixation
31,F4IW47,Calvin-Benson cycle
32,F4IW47,pentose phosphate pathway
33,F4IWV2,tricarboxylic acid cycle
34,F4JGR5,pyrophosphate recycling
35,F4JIK2,carbon fixation
36,F4JJJ3,
37,F4JWS8,oxidative phosphorylation
38,F4KGQ0,Calvin-Benson cycle
39,F4KGQ0,sucrose synthesis
40,F4KGQ0,glycolysis
41,F4KGQ0,gluconeogenesis
42,O03042,Calvin-Benson cycle
43,O03042,photorespiration
44,O04130,serine synthesis
45,O04308,oxidative phosphorylation
46,O04499,gluconeogenesis
47,O04499,glycolysis
48,O04846,carbon fixation
49,O04904,UMP synthesis
50,O04905,nucleotide metabolism
51,O04983,fatty acid synthesis
52,O22048,
53,O22049,
54,O22229,TRX recycling
55,O22241,phenylalanine synthesis
56,O22682,cysteine synthesis
57,O22718,actyl-coenzyme A synthesis
58,O22765,tryptophan synthesis
59,O22769,oxidative phosphorylation
60,O22912,oxidative phosphorylation
61,O23254,methionine synthesis
62,O23254,THF recycling
63,O23255,methionine synthesis
64,O23324,sulfur assimilation
65,O23346,histidine synthesis
66,O23404,pyruvate metabolism
67,O23553,starch degradation
68,O23653,lysine synthesis
69,O23653,methionine synthesis
70,O23653,threonine synthesis
71,O23913,
72,O48946,cellulose synthesis
73,O48947,cellulose synthesis
74,O49299,starch synthesis
75,O49299,sucrose synthesis
76,O49299,sucrose degradation
77,O49347,light reactions
78,O49485,serine synthesis
79,O49506,photorespiration
80,O50008,methionine synthesis
81,O50039,arginine synthesis
82,O64753,CTP synthesis
83,O64767,IMP synthesis
84,O64888,PRPP synthesis
85,O64903,nucleotide metabolism
86,O65258,starch degradation
87,O65396,photorespiration
88,O65581,Calvin-Benson cycle
89,O65581,sucrose synthesis
90,O65581,glycolysis
91,O65581,gluconeogenesis
92,O80452,GMP synthesis
93,O80526,actyl-coenzyme A synthesis
94,O80574,lysine synthesis
95,O80585,methionine synthesis
96,O80585,THF recycling
97,O80634,
98,O80738,trehalose synthesis
99,O80874,
100,O80988,photorespiration
101,O81796,tricarboxylic acid cycle
102,O81852,lysine synthesis
103,O81852,methionine synthesis
104,O81852,methionine synthesis
105,O81852,threonine synthesis
106,O82191,pyruvate metabolism
107,O82399,photorespiration
108,O82514,nucleotide metabolism
109,O82662,tricarboxylic acid cycle
110,O82663,tricarboxylic acid cycle
111,O82663,oxidative phosphorylation
112,O82768,histidine synthesis
113,O82782,histidine synthesis
114,O82793,pyrophosphate recycling
115,O82796,serine synthesis
116,P05466,Shikimate pathway
117,P09468,
118,P0CC32,
119,P0CC33,
120,P0DI07,histidine synthesis
121,P0DKC3,photorespiration
122,P0DKC4,photorespiration
123,P0DKI0,tricarboxylic acid cycle
124,P0DKI0,oxidative phosphorylation
125,P0DKI1,tricarboxylic acid cycle
126,P0DKI1,oxidative phosphorylation
127,P10795,Calvin-Benson cycle
128,P10795,photorespiration
129,P10796,Calvin-Benson cycle
130,P10796,photorespiration
131,P10797,Calvin-Benson cycle
132,P10797,photorespiration
133,P10798,Calvin-Benson cycle
134,P10798,photorespiration
135,P11035,nitrate assimilation
136,P11832,nitrate assimilation
137,P14671,tryptophan synthesis
138,P17562,
139,P17597,isoleucine synthesis
140,P17597,leucine synthesis
141,P17597,leucine synthesis
142,P17597,valine synthesis
143,P19366,
144,P20115,tricarboxylic acid cycle
145,P20115,pyruvate metabolism
146,P20115,glyoxylate cycle
147,P21216,pyrophosphate recycling
148,P22197,sucrose synthesis
149,P22197,gluconeogenesis
150,P22197,glycolysis
151,P23321,light reactions
152,P23686,
153,P25269,tryptophan synthesis
154,P25696,gluconeogenesis
155,P25696,glycolysis
156,P25696,glycolysis
157,P25697,Calvin-Benson cycle
158,P25819,photorespiration
159,P25819,glycine synthesis
160,P25851,Calvin-Benson cycle
161,P25851,glycolysis
162,P25853,starch degradation
163,P25856,Calvin-Benson cycle
164,P25857,Calvin-Benson cycle
165,P25858,gluconeogenesis
166,P25858,glycolysis
167,P26288,
168,P26289,
169,P27140,carbon fixation
170,P27202,light reactions
171,P28297,
172,P29976,Shikimate pathway
173,P31166,ADN salvage
174,P32068,tryptophan synthesis
175,P32069,tryptophan synthesis
176,P32746,UMP synthesis
177,P34047,histidine synthesis
178,P34795,sucrose synthesis
179,P34795,sucrose degradation
180,P34795,gluconeogenesis
181,P38025,IMP synthesis
182,P39207,nucleotide metabolism
183,P42737,carbon fixation
184,P42738,
185,P42770,sulfur assimilation
186,P42792,oxidative phosphorylation
187,P46248,aspartate synthesis
188,P46248,
189,P46283,Calvin-Benson cycle
190,P46637,proline synthesis
