,Enzyme,Subsystem,Name
0,A0A178UD24,pentose phosphate pathway,"(thale cress) hypothetical protein, TRA2"
1,A0A178VX82,glycolysis,Pyruvate kinase
2,A0A178WJZ2,CTP synthesis,CTP synthase
3,A0A1P8ANY1,lysine synthesis,Semialdehyde dehydrogenase family protein
4,A0A1P8AW36,glutamate synthesis,glutamate dehydrogenase (NADP(+))
5,A0A1P8B6F9,CTP synthesis,CTP synthase
6,A0A384K8P2,CTP synthesis,CTP synthase
7,A0A384KII3,glycolysis,Pyruvate kinase
8,A0A384KLZ3,tricarboxylic acid cycle,"2-oxoglutarate dehydrogenase, mitochondrial"
9,A0A384L5D5,glycolysis,Pyruvate kinase
10,A0A5S9YI34,tricarboxylic acid cycle,"2-oxoglutarate dehydrogenase, mitochondrial"
11,A0A654EZT9,IMP synthesis,phosphoribosylaminoimidazole carboxylase
12,A0A654FAY0,glycolysis,Pyruvate kinase
13,A0A654FQL5,IMP synthesis,Adenylosuccinate lyase
14,A0A654FQL5,AMP synthesis,Adenylosuccinate lyase
15,A1A6H3,ADN salvage,Ribokinase
16,A8MR07,glycolysis,Pyruvate kinase
17,B5X574,gluconeogenesis,Phosphoenolpyruvate carboxykinase (ATP) 2
18,B9DGD6,actyl-coenzyme A synthesis,"Acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal"
19,B9DHD3,histidine synthesis,"Histidinol-phosphate aminotransferase 1, chloroplastic"
20,F4HUC4,carbon fixation,Alpha carbonic anhydrase 5
21,F4I1A6,trehalose synthesis,Probable trehalose-phosphate phosphatase C
22,F4I1L9,IMP synthesis,Adenylosuccinate lyase
23,F4I1L9,AMP synthesis,Adenylosuccinate lyase
24,F4I6G9,CTP synthesis,CTP synthase
25,F4I7I0,alanine synthesis,"Alanine aminotransferase 1, mitochondrial"
26,F4I8M8,glycolysis,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 2"
27,F4I8U2,starch synthesis,"Inactive glucose-1-phosphate adenylyltransferase small subunit 2, chloroplastic"
28,F4IAG2,starch synthesis,"Starch synthase 3, chloroplastic/amyloplastic"
29,F4IC59,pentose phosphate pathway,transaldolase
30,F4IHR4,carbon fixation,Alpha carbonic anhydrase 2
31,F4IW47,Calvin-Benson cycle,"Transketolase-2, chloroplastic"
32,F4IW47,pentose phosphate pathway,"Transketolase-2, chloroplastic"
33,F4IWV2,tricarboxylic acid cycle,"2-oxoglutarate dehydrogenase, mitochondrial"
34,F4JGR5,pyrophosphate recycling,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta 2
35,F4JIK2,carbon fixation,Alpha carbonic anhydrase 4
36,F4JWS8,oxidative phosphorylation,"Cytochrome b-c1 complex subunit 7-2, mitochondrial"
37,F4KGQ0,Calvin-Benson cycle,"Fructose-bisphosphate aldolase 4, cytosolic"
38,F4KGQ0,sucrose synthesis,"Fructose-bisphosphate aldolase 4, cytosolic"
39,F4KGQ0,glycolysis,"Fructose-bisphosphate aldolase 4, cytosolic"
40,F4KGQ0,gluconeogenesis,"Fructose-bisphosphate aldolase 4, cytosolic"
41,O03042,Calvin-Benson cycle,Ribulose bisphosphate carboxylase large chain
42,O03042,photorespiration,Ribulose bisphosphate carboxylase large chain
43,O04130,serine synthesis,"D-3-phosphoglycerate dehydrogenase 2, chloroplastic"
44,O04308,oxidative phosphorylation,"Probable mitochondrial-processing peptidase subunit alpha-2, chloroplastic/mitochondrial"
45,O04499,gluconeogenesis,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1"
46,O04499,glycolysis,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1"
47,O04846,carbon fixation,"Alpha carbonic anhydrase 1, chloroplastic"
48,O04904,UMP synthesis,"Dihydroorotase, mitochondrial"
49,O04905,nucleotide metabolism,UMP-CMP kinase 3
50,O04983,fatty acid synthesis,"Biotin carboxylase, chloroplastic"
51,O22229,TRX recycling,NADPH-dependent thioredoxin reductase 3
52,O22241,phenylalanine synthesis,"Arogenate dehydratase 4, chloroplastic"
53,O22682,cysteine synthesis,"S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent), chloroplastic"
54,O22718,actyl-coenzyme A synthesis,ATP-citrate synthase alpha chain protein 2
55,O22765,tryptophan synthesis,Tryptophan synthase alpha chain
56,O22769,oxidative phosphorylation,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial"
57,O22912,oxidative phosphorylation,Probable cytochrome c oxidase subunit 5C-1
58,O23254,methionine synthesis,Serine hydroxymethyltransferase 4
59,O23254,THF recycling,Serine hydroxymethyltransferase 4
60,O23255,methionine synthesis,Adenosylhomocysteinase 1
61,O23324,sulfur assimilation,"ATP-sulfurylase 3, chloroplastic"
62,O23346,histidine synthesis,"Imidazoleglycerol-phosphate dehydratase 2, chloroplastic"
63,O23404,pyruvate metabolism,"Pyruvate, phosphate dikinase 1, chloroplastic"
64,O23553,starch degradation,"Beta-amylase 3, chloroplastic"
65,O23653,lysine synthesis,"Aspartokinase 2, chloroplastic"
66,O23653,methionine synthesis,"Aspartokinase 2, chloroplastic"
67,O23653,threonine synthesis,"Aspartokinase 2, chloroplastic"
68,O48946,cellulose synthesis,Cellulose synthase A catalytic subunit 1 [UDP-forming]
69,O48947,cellulose synthesis,Cellulose synthase A catalytic subunit 2 [UDP-forming]
70,O49299,starch synthesis,"Probable phosphoglucomutase, cytoplasmic 1"
71,O49299,sucrose synthesis,"Probable phosphoglucomutase, cytoplasmic 1"
72,O49299,sucrose degradation,"Probable phosphoglucomutase, cytoplasmic 1"
73,O49347,light reactions,"Photosystem II reaction center proteins PsbY, chloroplastic"
74,O49485,serine synthesis,"D-3-phosphoglycerate dehydrogenase 1, chloroplastic"
75,O49506,photorespiration,Glycolate oxidase 3
76,O50008,methionine synthesis,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1
77,O50039,arginine synthesis,"Ornithine transcarbamylase, chloroplastic"
78,O64753,CTP synthesis,CTP synthase
79,O64767,IMP synthesis,"AICARFT/IMPCHase bienzyme family protein, Putative phosphoribosylaminoimidazolecarboxamide formyltransferase"
80,O64888,PRPP synthesis,"Ribose-phosphate pyrophosphokinase 5, chloroplastic"
81,O64903,nucleotide metabolism,"Nucleoside diphosphate kinase II, chloroplastic"
82,O65258,starch degradation,"Beta-amylase 2, chloroplastic"
83,O65396,photorespiration,"Aminomethyltransferase, mitochondrial"
84,O65581,Calvin-Benson cycle,"Fructose-bisphosphate aldolase 5, cytosolic"
85,O65581,sucrose synthesis,"Fructose-bisphosphate aldolase 5, cytosolic"
86,O65581,glycolysis,"Fructose-bisphosphate aldolase 5, cytosolic"
87,O65581,gluconeogenesis,"Fructose-bisphosphate aldolase 5, cytosolic"
88,O80452,GMP synthesis,AMP deaminase
89,O80526,actyl-coenzyme A synthesis,ATP-citrate synthase alpha chain protein 3
90,O80574,lysine synthesis,"4-hydroxy-tetrahydrodipicolinate reductase 1, chloroplastic"
91,O80585,methionine synthesis,Methylenetetrahydrofolate reductase (NADH) 2
92,O80585,THF recycling,Methylenetetrahydrofolate reductase (NADH) 2
93,O80738,trehalose synthesis,"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 10"
94,O80988,photorespiration,"Glycine dehydrogenase (decarboxylating) 2, mitochondrial"
95,O81796,tricarboxylic acid cycle,"Isocitrate dehydrogenase [NAD] regulatory subunit 3, mitochondrial"
96,O81852,lysine synthesis,"Bifunctional aspartokinase/homoserine dehydrogenase 2, chloroplastic"
97,O81852,methionine synthesis,"Bifunctional aspartokinase/homoserine dehydrogenase 2, chloroplastic"
98,O81852,methionine synthesis,"Bifunctional aspartokinase/homoserine dehydrogenase 2, chloroplastic"
99,O81852,threonine synthesis,"Bifunctional aspartokinase/homoserine dehydrogenase 2, chloroplastic"
100,O82191,pyruvate metabolism,NADP-dependent malic enzyme 1
101,O82399,photorespiration,"Malate dehydrogenase 1, peroxisomal"
102,O82514,nucleotide metabolism,Adenylate kinase 4
