From	Entry	Entry Name	Protein names	Gene Names	Organism (ID)
AT5G55450	Q9FJ65	Q9FJ65_ARATH	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	ATLTP44 MTE17.16 MTE17_16 At5g55450	3702
AT3G62530	F4IYB2	F4IYB2_ARATH	ARM repeat superfamily protein	At3g62530	3702
AT3G62530	Q0WMY2	Q0WMY2_ARATH	Uncharacterized protein At3g62530	At3g62530	3702
AT3G62530	Q94K48	Q94K48_ARATH	Uncharacterized protein At3g62530	At3g62530	3702
AT5G03350	Q9LZF5	LECT6_ARATH	Lectin-like protein (Apoplastic EDS1-dependent protein 9) (SA-induced legume lectin-like protein 1)	LLP AED9 LLP1 SAI-LLP1 At5g03350 F12E4.80	3702
AT3G57240	F4J270	BG3_ARATH	Probable glucan endo-1,3-beta-glucosidase BG3 (EC 3.2.1.39) (Beta-1,3-glucanase 3) (AtBG3)	BG3 At3g57240 F28O9.90	3702
AT3G57240	Q84R18	Q84R18_ARATH	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)	At3g57240	3702
AT2G15130	F4IHH2	F4IHH2_ARATH	Plant basic secretory protein (BSP) family protein	At2g15130 T15J14.17 T15J14_17	3702
AT2G15130	Q7E4D6	Q7E4D6_ARATH	Uncharacterized protein	At2g15130	3702
AT2G15130	Q84LS2	Q84LS2_ARATH	Uncharacterized protein	At2g15130	3702
AT2G15130	Q9ZUJ8	Q9ZUJ8_ARATH	Plant basic secretory protein (BSP) family protein	At2g15130 T15J14.17 T15J14_17	3702
AT2G14610	P33154	PR1_ARATH	Pathogenesis-related protein 1 (PR-1)	At2g14610 T6B13.15	3702
AT5G36210	F4K2Y3	F4K2Y3_ARATH	Alpha/beta-Hydrolases superfamily protein	MAB16.20 At5g36210	3702
AT3G07470	A0A1I9LNZ1	A0A1I9LNZ1_ARATH	DUF538 family protein	At3g07470	3702
AT3G07470	F4JEG2	F4JEG2_ARATH	Uncharacterized protein	At3g07470	3702
AT3G07470	Q9SRR9	Q9SRR9_ARATH	Uncharacterized protein	At3g07470	3702
AT2G05380	Q9ZSJ6	GRP3S_ARATH	Glycine-rich protein 3 short isoform	GRP3S At2g05380 F16J10.7	3702
AT2G05380	A0A1P8B1B5	A0A1P8B1B5_ARATH	Glycine-rich protein 3 short isoform	GRP3S At2g05380 F16J10.7 F16J10_7	3702
AT2G05380	C0Z2S1	C0Z2S1_ARATH	AT2G05380 protein	GRP3S At2g05380	3702
AT2G05380	F4IGD2	F4IGD2_ARATH	Glycine-rich protein 3 short isoform	GRP3S At2g05380 F16J10.7 F16J10_7	3702
AT2G05380	Q8L5Z5	Q8L5Z5_ARATH	Uncharacterized protein At2g05380	At2g05380	3702
AT3G57260	P33157	E13A_ARATH	Glucan endo-1,3-beta-glucosidase, acidic isoform (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase) ((1->3)-beta-glucanase) (Beta-1,3-endoglucanase) (Beta-1,3-glucanase 2) (AtBG2) (Pathogenesis-related protein 2) (PR-2)	BG2 At3g57260 F28O9.110	3702
AT3G57260	A0A1I9LMG6	A0A1I9LMG6_ARATH	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)	PR2 3-GLUCANASE 3-GLUCANASE 2 3-glucanase 2 AtBG2 AtPR2 BETA-1 beta-1 BG2 BGL2 PATHOGENESIS-RELATED PROTEIN 2 PR-2 At3g57260	3702
AT2G32080	Q9SKZ1	PUR_ARATH	Transcription factor Pur-alpha 1 (Purine-rich single-stranded DNA-binding protein alpha 1)	PURA1 At2g32080 F22D22.17	3702
AT5G59670	Q9FN94	RLK0_ARATH	Receptor-like protein kinase At5g59670 (EC 2.7.10.1) (EC 2.7.11.1) (Leucine-rich repeat receptor-like protein kinase At5g59670)	At5g59670 MTH12.12	3702
AT2G25450	Q9SKK4	GSL_ARATH	Probable 2-oxoacid dependent dioxygenase (EC 1.14.-.-)	GSL-OH At2g25450 F13B15.11	3702
AT2G23600	O80476	MES2_ARATH	Methylesterase 2 (AtMES2) (EC 3.1.1.-) (Protein METHYLESTERASE 8) (AtME8)	MES2 ACL ME8 At2g23600 F26B6.25	3702
AT2G23600	A0A1P8AXQ5	A0A1P8AXQ5_ARATH	Methylesterase (EC 3.1.1.-)	ACL ACETONE-CYANOHYDRIN LYASE acetone-cyanohydrin lyase ARABIDOPSIS METHYL ESTERASE 8 ATME8 ATMES2 ME8 MES2 METHYL ESTERASE 2 METHYL ESTERASE 8 At2g23600 F26B6.25 F26B6_25	3702
AT2G23600	A0A1P8AXW0	A0A1P8AXW0_ARATH	Methylesterase (EC 3.1.1.-)	ACL ACETONE-CYANOHYDRIN LYASE acetone-cyanohydrin lyase ARABIDOPSIS METHYL ESTERASE 8 ATME8 ATMES2 ME8 MES2 METHYL ESTERASE 2 METHYL ESTERASE 8 At2g23600 F26B6.25 F26B6_25	3702
AT2G23600	C0Z395	C0Z395_ARATH	Methylesterase (EC 3.1.1.-)	At2g23600	3702
AT2G14440	Q9ZQQ7	Y2144_ARATH	Putative leucine-rich repeat receptor-like serine/threonine-protein kinase At2g14440 (EC 2.7.11.1)	At2g14440 T13P21.18	3702
