Entry	Entry Name	Gene Names	Protein names
A0A178UD24	A0A178UD24_ARATH	AXX17_At5g12840 AT9943_LOCUS19035 C24_LOCUS21998	(thale cress) hypothetical protein (TRA2)
A0A178VX82	A0A178VX82_ARATH	AXX17_At2g33300 AN1_LOCUS10112 AT9943_LOCUS8673 C24_LOCUS9958	Pyruvate kinase (EC 2.7.1.40)
A0A178WJZ2	A0A178WJZ2_ARATH	AXX17_At1g31380 AN1_LOCUS3130 C24_LOCUS3038	CTP synthase (EC 6.3.4.2) (UTP--ammonia ligase)
A0A1P8ANY1	A0A1P8ANY1_ARATH	At1g14810 F10B6.22 F10B6_22	Semialdehyde dehydrogenase family protein
A0A1P8AW36	A0A1P8AW36_ARATH	At1g51720 F19C24.7 F19C24_7	glutamate dehydrogenase (NADP(+)) (EC 1.4.1.4)
A0A1P8B6F9	A0A1P8B6F9_ARATH	CTPS3 At4g02120 T10M13.13 T10M13_13	CTP synthase (EC 6.3.4.2) (UTP--ammonia ligase)
A0A384K8P2	A0A384K8P2_ARATH	AXX17_At3g12710 AN1_LOCUS12593	CTP synthase (EC 6.3.4.2) (UTP--ammonia ligase)
A0A384KII3	A0A384KII3_ARATH	AXX17_At5g63250 AN1_LOCUS26683 AT9943_LOCUS22967 C24_LOCUS26504	Pyruvate kinase (EC 2.7.1.40)
A0A384KLZ3	A0A384KLZ3_ARATH	At3g55410 AXX17_At3g50000 AN1_LOCUS15913 AT9943_LOCUS13699 C24_LOCUS15797	2-oxoglutarate dehydrogenase, mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1)
A0A384L5D5	A0A384L5D5_ARATH	AXX17_At5g08490 AN1_LOCUS21688 AT9943_LOCUS18676	Pyruvate kinase (EC 2.7.1.40)
A0A5S9YI34	A0A5S9YI34_ARATH	C24_LOCUS26730	2-oxoglutarate dehydrogenase, mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1)
