Genes,Short names
AT1G06680,PSBP1
AT1G44575,PSBS
AT1G67740,PSBY
AT1G79040,PSBR
AT2G06520,At2g06520
AT2G30570,PSBW
AT3G21055,PSBT
AT3G50820,PSBO2
AT4G05180,PSBQ2
AT4G21280,PSBQ1
AT5G66570,PSBO1
ATCG00020,psbA
ATCG00070,psbK
ATCG00080,psbI
ATCG00220,psbM
ATCG00270,psbD
ATCG00280,psbC
ATCG00300,psbZ
ATCG00550,psbJ
ATCG00560,psbL
ATCG00570,psbF
ATCG00580,psbE
ATCG00680,psbB
ATCG00690,psbT
ATCG00700,psbN
ATCG00710,psbH
AT4G03280,petC
ATCG00210,petN
ATCG00540,petA
ATCG00590,petL
ATCG00600,petG
ATCG00720,petB
ATCG00730,petD
AT1G03130,PSAD2
AT1G08380,PSAO
AT1G30380,PSAK
AT1G31330,PSAF
AT1G52230,PSAH2
AT1G55670,PSAG
AT2G20260,PSAE2
AT2G46820,CURT1B
AT3G16140,PSAH1
AT4G02770,psaD1
AT4G12800,PSAL
AT4G28750,PSAE1
AT5G64040,PSAN
ATCG00340,psaB
ATCG00350,psaA
ATCG00510,psaI
ATCG00630,psaJ
ATCG01060,psaC
AT1G20020,LFNR2
AT5G66190,LFNR1
AT1G67090,RBCS-1A
AT5G38410,RBCS-3B
AT5G38420,RBCS-2B
AT5G38430,RBCS-1B
ATCG00490,rbcL
AT1G56190,At1g56190
AT3G12780,PGK1
AT1G12900,GAPA2
AT1G42970,GAPB
AT3G26650,GAPA1
AT2G21170,TIM
AT3G55440,CTIMC
AT2G01140,FBA3
AT2G21330,FBA1
AT3G52930,FBA8
AT4G26530,FBA5
AT4G38970,FBA2
AT5G03690,FBA4
AT3G54050,CFBP1
AT2G45290,TKL-2
AT3G60750,TKL-1
AT3G55800,At3g55800
AT5G61410,RPE
AT3G04790,RPI3
AT1G32060,At1g32060
AT4G24620,PGI1
AT1G23190,At1g23190
AT1G70730,At1g70730
AT5G51820,PGMP
AT1G05610,APS2
AT1G27680,APL2
AT2G21590,At2g21590
AT4G39210,APL3
AT5G19220,ADG2
AT5G48300,APS1
AT1G11720,SS3
AT3G01180,SS2
AT4G18240,SS4
AT5G24300,SS1
AT1G69830,AMY3
AT2G32290,BAM6
AT3G23920,BAM1
AT4G00490,BAM2
AT4G15210,BAM5
AT4G17090,BAM3
AT5G18670,BAM9
AT2G40840,DPE2
AT5G64860,DPE1
AT2G19860,HXK2
AT3G46970,PHS2
AT2G36460,FBA6
AT4G26520,FBA7
AT1G43670,CYFBP
AT1G07110,FKFBP
AT5G42740,PGIC
AT3G03250,UGP2
AT5G17310,UGP1
AT5G20280,SPS1
AT2G35840,SPP2
AT3G52340,SPP3B
AT3G43190,SUS4
AT5G20830,SUS1
AT5G49190,SUS2
AT1G35580,CINV1
AT4G09510,CINV2
AT2G31390,At2g31390
AT3G54090,FLN1
AT3G59480,At3g59480
AT1G06410,TPS7
AT1G16980,TPS2
AT1G17000,TPS3
AT1G60140,TPS10
AT1G78580,TPS1
AT2G18700,TPS11
AT1G22210,TPPC
AT1G35910,TPPD
AT2G22190,TPPE
AT4G12430,TPPF
AT4G22590,TPPG
AT4G39770,TPPH
AT5G65140,TPPJ
AT2G21770,CESA9
AT2G25540,CESA10
AT4G18780,CESA8
AT4G32410,CESA1
AT4G39350,CESA2
AT5G05170,CESA3
AT5G09870,CESA5
AT5G17420,CESA7
AT5G44030,CESA4
AT5G64740,CESA6
AT2G22780,PMDH1
AT5G09660,PMDH2
AT5G43330,MDH2
AT5G56720,MDH3
AT4G37870,PCK1
AT5G65690,PCK2
AT1G53310,PPC1
AT1G68750,PPC4
AT2G42600,PPC2
AT3G14940,PPC3
AT2G29560,ENO3
AT2G36530,ENO2
AT1G09780,PGM1
AT3G08590,PGM2
AT3G50520,At3g50520
AT1G79550,PGK3
AT1G13440,GAPC2
AT3G04120,GAPC1
AT2G24270,ALDH11A3
AT4G26270,PFK3
AT4G29220,PFK1
AT4G32840,PFK6
AT5G47810,PFK2
AT5G56630,PFK7
AT2G22480,PFK5
AT5G61580,PFK4
AT1G16300,GAPCP2
AT1G79530,GAPCP1
AT1G22170,gpmA1
AT1G78050,gpmA2
AT1G74030,ENO1
AT2G36580,At2g36580
AT3G04050,At3g04050
AT3G25960,At3g25960
AT3G52990,At3g52990
AT3G55650,F1I16_60
AT3G55810,F1I16_220
AT5G08570,MAH20.13
AT5G63680,MBK5.16
AT1G32440,PKP3
AT3G22960,PKP1
AT5G52920,PKP2
AT1G59900,E1
AT5G50850,PDH2
AT1G54220,At1g54220
AT3G13930,At3g13930
AT3G52200,LTA3
AT1G48030,LPD1
AT3G17240,LPD2
AT2G44350,CSY4
AT3G60100,CSY5
AT2G05710,ACO3
AT4G26970,ACO2
AT4G35830,ACO1
AT2G17130,IDH2
AT3G09810,IDH6
AT4G35260,IDH1
AT4G35650,IDH3
AT5G03290,IDH5
AT3G55410,At3g55410
AT5G65750,MPA24.10
AT4G26910,At4g26910
AT5G55070,At5g55070
AT2G20420,At2g20420
AT5G08300,At5g08300
AT5G23250,At5g23250
AT1G08480,SDH6
AT1G47420,SDH5
AT2G18450,SDH1-2
AT2G46390,SDH8
AT2G46505,SDH4
AT3G27380,SDH2-1
AT3G47833,SDH7A
AT4G32210,SDH3-2
AT5G09600,SDH3-1
AT5G40650,SDH2-2
AT5G62575,SDH7B
AT5G65165,SDH2-3
AT5G66760,SDH1-1
AT2G47510,FUM1
AT5G50950,FUM2
AT1G53240,At1g53240
AT3G15020,At3g15020
AT3G47520,At3g47520
AT1G16700,At1g16700
AT1G79010,At1g79010
AT4G02580,At4g02580
AT5G08530,At5g08530
AT5G11770,At5g11770
AT5G37510,EMB1467
ATMG00060,ND5
ATMG00070,NAD9
ATMG00270,ND6
ATMG00285,ND2
ATMG00510,NAD7
ATMG00513,ND5
ATMG00516,ND1
ATMG00580,ND4
ATMG00650,ND4L
ATMG00665,ND5
ATMG00990,ND3
ATMG01120,ND1
ATMG01275,ND1
ATMG01320,ND2
AT1G15120,QCR6-1
AT1G51980,MPPalpha1
AT2G01090,QCR6-2
AT2G07727,MT-CYB
AT3G02090,MPPbeta
AT3G10860,UCRQ-1
AT3G16480,MPPalpha2
AT3G27240,CYC1-1
AT3G52730,QCR9
AT4G32470,QCR7-1
AT5G05370,UCRQ-2
AT5G13430,UCR1-1
AT5G13440,UCR1-2
AT5G25450,QCR7-2
AT5G40810,CYC1-2
ATMG00220,MT-CYB
AT1G22450,COX6B-1
AT1G80230,COX5B-2
AT2G47380,At2g47380
AT3G15640,COX5B-1
AT3G62400,At3g62400
AT4G28060,COX6B-3
AT4G37380,ELI1
AT5G57815,COX6B-2
AT5G61310,At5g61310
ATMG00160,COX2
ATMG00730,COX3
ATMG01360,COX1
AT1G51650,At1g51650
AT2G07671,atp9
AT2G33040,ATPC
AT3G52300,At3g52300
AT5G08670,At5g08670
AT5G08680,At5g08680
AT5G08690,At5g08690
AT5G13450,At5g13450
AT5G47030,At5g47030
ATMG00410,ATP6-1
ATMG00480,YMF19
ATMG00640,AtMg00640
ATMG01080,ATP9
ATMG01170,ATP6-2
ATMG01190,ATPA
AT5G36700,PGLP1A
AT5G36790,PGLP1B
AT5G47760,PGLP2
AT3G14150,GLO3
AT3G14415,GLO2
AT3G14420,GLO1
AT4G18360,GLO5
AT1G20620,CAT3
AT1G20630,CAT1
AT4G35090,CAT2
AT1G23310,GGAT1
AT1G70580,GGAT2
AT2G26080,GLDP2
AT4G33010,GLDP1
AT1G11860,GDCST
AT4G37930,SHM1
AT5G26780,SHM2
AT2G13360,AGT1
AT1G68010,HPR
AT1G80380,GLYK
AT1G09420,G6PD4
AT1G24280,G6PD3
AT3G27300,G6PD5
AT5G13110,G6PD2
AT5G35790,G6PD1
AT1G13700,PGL1
AT3G49360,PGL2
AT5G24400,PGL3
AT5G24410,PGL4
AT5G24420,PGL5
AT1G64190,PGD1
AT3G02360,PGD2
AT5G41670,PGD3
AT1G12230,At1g12230
AT5G13420,TRA2
AT1G22410,At1g22410
AT4G33510,DHS2
AT4G39980,DHS1
AT5G66120,DHQS
AT3G06350,EMB3004
AT2G21940,SK1
AT4G39540,SK2
AT2G45300,At2g45300
AT1G48850,EMB1144
AT1G10700,PRS3
AT1G32380,PRS2
AT2G35390,PRS1
AT2G44530,PRS5
AT4G15530,PPDK
AT2G19900,NADP-ME1
AT5G11670,NADP-ME2
AT5G25880,NADP-ME3
AT1G79750,NADP-ME4
AT1G04410,MDH1
AT5G58330,At5g58330
AT2G42790,CSY3
AT3G58750,CSY2
AT1G32480,IDH4
AT1G65930,CICDH
AT1G54340,ICDH
AT5G14590,At5g14590
AT3G21720,ICL
AT5G03860,MLS
AT1G09430,ACLA-3
AT1G10670,ACLA-1
AT1G60810,ACLA-2
AT3G06650,ACLB-1
AT5G36880,ACS
AT2G38040,CAC3
AT5G15530,BCCP2
AT5G16390,BCCP1
AT5G35360,CAC2
ATCG00500,accD
AT2G30200,EMB3147
AT5G09650,PPA6
AT1G01050,PPA1
AT2G18230,PPA2
AT2G46860,PPA3
AT3G53620,PPA4
AT1G12000,PFP-BETA1
AT1G20950,PFP-ALPHA1
AT1G76550,PFP-ALPHA2
AT4G04040,PFP-BETA2
AT5G14780,FDH1
AT1G50480,THFS
AT2G16370,THY-1
AT2G17420,NTR2
AT2G41680,NTRC
AT4G35460,NTR1
AT3G09820,ADK1
AT5G03300,ADK2
AT2G36310,URH1
AT1G27450,APT1
AT1G80050,APT2
AT4G12440,APT4
AT4G22570,APT3
AT5G11160,APT5
AT1G17160,RBSK
AT1G37130,NIA2
AT1G77760,NIA1
AT2G15620,NIR1
AT1G19920,APS2
AT3G22890,APS1
AT4G14680,APS3
AT5G43780,APS4
AT1G62180,APR2
AT4G04610,APR1
AT4G21990,APR3
AT3G54660,EMB2360
AT5G04590,SIR
AT1G08065,ACA5
AT1G23730,BCA3
AT2G28210,ACA2
AT3G52720,ACA1
AT4G20990,ACA4
AT4G21000,ACA6
AT5G04180,ACA3
AT5G14740,BCA2
AT1G08080,ACA7
AT1G58180,BCA6
AT1G70410,BCA4
AT3G01500,BCA1
AT4G33580,BCA5
AT1G17290,ALAAT1
AT1G72330,ALAAT2
AT3G57560,NAGK
AT2G19940,At2g19940
AT1G80600,WIN1
AT2G37500,At2g37500
AT1G29900,CARB
AT3G27740,CARA
AT1G75330,OTC
AT4G24830,At4g24830
AT5G10920,At5g10920
AT3G47340,ASN1
AT5G10240,ASN3
AT5G65010,ASN2
AT1G62800,ASP4
AT1G62960,ACS10
AT5G19550,ASP2
AT5G51690,ACS12
AT2G22250,PAT
AT4G31990,ASP5
AT2G30970,ASP1
AT5G11520,ASP3
AT3G16150,At3g16150
AT5G08100,At5g08100
AT1G55920,SAT1
AT2G17640,SAT2
AT3G13110,SAT3
AT4G35640,SAT4
AT5G56760,SAT5
AT3G22460,OASA2
AT4G14880,OASA1
AT2G43750,OASB
AT3G03630,CS26
AT3G61440,CYSC1
AT5G28020,CYSD2
AT5G53460,GLT1
AT1G51720,At1g51720
AT5G60540,PDX2
AT2G41220,GLU2
AT5G04140,GLU1
AT3G03910,GSH3
AT5G07440,GDH2
AT5G18170,GDH1
AT1G65960,GAD2
AT2G02000,GAD3
AT2G02010,GAD4
AT3G17760,GAD5
AT5G17330,GAD1
AT3G22200,POP2
AT1G79440,ALDH5F1
AT1G66200,GLN1-2
AT3G17820,GLN1-3
AT5G16570,GLN1-4
AT5G37600,GLN1-1
AT1G48470,GLN1-5
AT5G35630,GLN2
AT1G08630,THA1
AT1G44170,ALDH3H1
AT1G54100,ALDH7B4
AT3G24503,ALDH2C4
AT3G66658,ALDH22A1
AT4G36250,ALDH3F1
AT1G09795,HISN1B
AT1G58080,HISN1A
AT1G31860,HISN2
AT2G36230,HISN3
AT4G26900,HISN4
AT3G22425,HISN5A
AT4G14910,HISN5B
AT1G71920,HISN6B
AT5G10330,HISN6A
AT4G39120,HISN7
AT5G63890,HISN8
AT3G10050,OMR1
AT3G48560,ALS
AT3G58610,At3g58610
AT3G23940,DHAD
AT1G10070,BCAT2
AT3G49680,BCAT3
AT5G65780,BCAT5
AT1G18500,IPMS1
AT1G74040,IPMS2
AT2G43090,SSU1
AT2G43100,SSU2
AT3G58990,SSU3
AT4G13430,IIL1
AT1G31180,IMDH3
AT1G80560,IMDH2
AT5G14200,IMDH1
AT1G31230,AKHSDH1
AT3G02020,AK3
AT4G19710,AKHSDH2
AT5G13280,AK1
AT5G14060,AK2
AT1G14810,At1g14810
AT2G45440,DHDPS2
AT3G60880,DHDPS1
AT2G44040,DAPB1
AT3G59890,DAPB2
AT5G52100,DAPB3
