,Isoenzymes,ComplexID,Pmet
218,Q01908,pmet_ATPase_h,pmet_ATPase_h
227,Q01909,pmet_ATPase_h,pmet_ATPase_h
229,P10796,pmet_RBC_h,pmet_RBC_h
231,P10797,pmet_RBC_h,pmet_RBC_h
233,P10795,pmet_RBC_h,pmet_RBC_h
235,P10798,pmet_RBC_h,pmet_RBC_h
236,Q9LD57,pmet_PGAK_h,pmet_PGAK_h
237,P50318,pmet_PGAK_h,pmet_PGAK_h
244,P48491,pmet_TPI_h,pmet_TPI_h
245,Q9SKP6,pmet_TPI_h,pmet_TPI_h
246,Q9ZU52,pmet_FBPA_h,pmet_FBPA_h
247,O65581,pmet_FBPA_h,pmet_FBPA_h
248,Q9LF98,pmet_FBPA_h,pmet_FBPA_h
249,Q944G9,pmet_FBPA_h,pmet_FBPA_h
250,F4KGQ0,pmet_FBPA_h,pmet_FBPA_h
251,Q9SJU4,pmet_FBPA_h,pmet_FBPA_h
252,Q8RWV0,pmet_FTK_h,pmet_FTK_h
253,F4IW47,pmet_FTK_h,pmet_FTK_h
254,Q9ZU52,pmet_FBPA_h,pmet_SBPA_h
255,O65581,pmet_FBPA_h,pmet_SBPA_h
256,Q9LF98,pmet_FBPA_h,pmet_SBPA_h
257,Q944G9,pmet_FBPA_h,pmet_SBPA_h
258,F4KGQ0,pmet_FBPA_h,pmet_SBPA_h
259,Q9SJU4,pmet_FBPA_h,pmet_SBPA_h
260,Q8RWV0,pmet_FTK_h,pmet_STK_h
261,F4IW47,pmet_FTK_h,pmet_STK_h
262,O49299,pmet_PGM_h,pmet_PGM_h
263,Q9SGC1,pmet_PGM_h,pmet_PGM_h
264,Q9SCY0,pmet_PGM_h,pmet_PGM_h
281,Q9FNF2,pmet_StS_h1,pmet_StS_h1
282,Q9MAC8,pmet_StS_h1,pmet_StS_h1
283,F4IAG2,pmet_StS_h1,pmet_StS_h1
284,Q0WVX5,pmet_StS_h1,pmet_StS_h1
285,Q9FNF2,pmet_StS_h1,pmet_StS_h2
286,Q9MAC8,pmet_StS_h1,pmet_StS_h2
287,F4IAG2,pmet_StS_h1,pmet_StS_h2
288,Q0WVX5,pmet_StS_h1,pmet_StS_h2
289,Q9FNF2,pmet_StS_h1,pmet_StS_h3
290,Q9MAC8,pmet_StS_h1,pmet_StS_h3
291,F4IAG2,pmet_StS_h1,pmet_StS_h3
292,Q0WVX5,pmet_StS_h1,pmet_StS_h3
293,Q8VYW2,pmet_bAMY1_h,pmet_bAMY1_h
296,Q9LIR6,pmet_bAMY1_h,pmet_bAMY1_h
298,O65258,pmet_bAMY1_h,pmet_bAMY1_h
300,O23553,pmet_bAMY1_h,pmet_bAMY1_h
302,P25853,pmet_bAMY1_h,pmet_bAMY1_h
304,Q8L762,pmet_bAMY1_h,pmet_bAMY1_h
305,Q8VYW2,pmet_bAMY1_h,pmet_bAMY2_h
308,Q9LIR6,pmet_bAMY1_h,pmet_bAMY2_h
310,O65258,pmet_bAMY1_h,pmet_bAMY2_h
312,O23553,pmet_bAMY1_h,pmet_bAMY2_h
314,P25853,pmet_bAMY1_h,pmet_bAMY2_h
316,Q8L762,pmet_bAMY1_h,pmet_bAMY2_h
317,Q9LV91,pmet_DPE11_h,pmet_DPE11_h
318,Q8RXD9,pmet_DPE11_h,pmet_DPE11_h
319,Q9LV91,pmet_DPE11_h,pmet_DPE12_h
320,Q8RXD9,pmet_DPE11_h,pmet_DPE12_h
321,Q9LV91,pmet_DPE11_h,pmet_DPE13_h
322,Q8RXD9,pmet_DPE11_h,pmet_DPE13_h
323,Q9LV91,pmet_DPE11_h,pmet_DPE2_c
324,Q8RXD9,pmet_DPE11_h,pmet_DPE2_c
325,P48491,pmet_TPI_h,pmet_TPI_c
326,Q9SKP6,pmet_TPI_h,pmet_TPI_c
327,P22197,pmet_FBPA_c,pmet_FBPA_c
328,O65581,pmet_FBPA_c,pmet_FBPA_c
