Temperature,K_c,K_o,k_c,k_o,S_co,phi
10,91.0887225333809,105843.780089452,0.638020292828937,0.175063284319635,4234.87065790185,0.173994004725571
11,98.1138358676215,110549.631244373,0.730292664531483,0.201158768055395,4090.58116320733,0.180131398416116
12,105.625698190602,115429.48269401,0.835118173862266,0.230918974097543,3952.16868027039,0.186439943452197
13,113.654070945799,120488.357529419,0.954095385475695,0.264826515137275,3819.35843686946,0.192923004594225
14,122.230279670792,125731.377226209,1.08901227067091,0.303423267963982,3691.89005350088,0.19958397855441
15,131.387281680129,131163.762361354,1.24186693250846,0.347317112466178,3569.5167126173,0.206426293693658
16,141.159735967008,136790.833311322,1.41489040519571,0.397189373973567,3452.00438006971,0.213453409710992
17,151.58407536748,142618.010931249,1.61057171521158,0.453803035534464,3339.13107521483,0.220668817325703
18,162.698581030708,148650.817214896,1.83168540666785,0.518011792351253,3230.68618640708,0.228076037952363
19,174.54345923871,154894.875935151,2.08132174947039,0.590770026639741,3126.46982883007,0.235678623368927
20,187.160920618807,161355.913264833,2.36291986600765,0.673143787661483,3026.2922418424,0.243480155378044
21,200.595261791789,168039.758377581,2.68030403041833,0.766322868628524,2929.97322321378,0.251484245461787
22,214.89294949859,174952.344028615,3.03772341403878,0.871634079625302,2837.34159781416,0.259694534429978
23,230.102707247946,182099.707115163,3.43989557147034,0.990555823662261,2748.23471849151,0.268114692062258
24,246.275604527241,189487.989216373,3.89205398390741,1.12473409150064,2662.49799703266,0.276748416744112
25,263.465148618378,197123.437112526,4.4,1.276,2579.98446324972,0.285599435097
26,281.727379060156,205012.403283385,4.78496702714715,1.35968958061848,2560.88609269482,0.287729355618382
27,301.12096479821,213161.34638552,5.20070837655423,1.44825497586138,2542.05494932334,0.289860809444459
28,321.707304063165,221576.831708481,5.64944456998309,1.54194287678183,2523.48596572647,0.291993740116179
29,343.550627017139,230265.531609657,6.13353835280556,1.64101043913536,2505.17419397113,0.29412809178556
30,366.718101208277,239234.225927725,6.65550258510629,1.74572563299312,2487.11480225871,0.296263809211373
31,391.279939872444,248489.802374568,7.21800849742718,1.85636760031903,2469.30307169125,0.298400837754795
32,417.309513120619,258039.25690555,7.82389432417719,1.9732270205724,2451.7343931414,0.300539123375042
33,444.883462049994,267889.694068083,8.47617432802638,2.09660648439554,2434.40426422229,0.302678612624988
34,474.081815816087,278048.327328376,9.17804822889869,2.22682087544241,2417.30828635364,0.304819252646768
35,504.988111702589,288522.479376324,9.9329110514736,2.36419776040202,2400.44216192084,0.306960991167367
36,537.68951822492,299319.582408465,10.7443634054026,2.50907778726705,2383.80169152348,0.309103776494195
37,572.276961302802,310447.178388954,11.6162222127414,2.66181509189533,2367.38277131037,0.311247557510655
38,608.845253536368,321912.919288526,12.5525318973943,2.82277771290884,2351.18139039774,0.313392283671703
39,647.493226619601,333724.56730141,13.5575760516594,2.99234801497158,2335.19362836791,0.3155379049994
40,688.323866924026,345889.995040186,14.6358895952593,3.17092312048487,2319.4156528455,0.317684372078453
