,Pmet,Isorxns,Enzymes,Type
0,pmet_PSII_h,PSII_hNo1,O49347,Obligate
1,pmet_PSII_h,PSII_hNo1,P23321,Shared
2,pmet_PSII_h,PSII_hNo1,P27202,Obligate
3,pmet_PSII_h,PSII_hNo1,P56761,Obligate
4,pmet_PSII_h,PSII_hNo1,P56777,Obligate
5,pmet_PSII_h,PSII_hNo1,P56778,Obligate
6,pmet_PSII_h,PSII_hNo1,P56779,Obligate
7,pmet_PSII_h,PSII_hNo1,P56780,Obligate
8,pmet_PSII_h,PSII_hNo1,P56781,Obligate
9,pmet_PSII_h,PSII_hNo1,P56782,Obligate
10,pmet_PSII_h,PSII_hNo1,P56790,Obligate
11,pmet_PSII_h,PSII_hNo1,P60129,Obligate
12,pmet_PSII_h,PSII_hNo1,P61839,Obligate
13,pmet_PSII_h,PSII_hNo1,P62095,Obligate
14,pmet_PSII_h,PSII_hNo1,P62100,Obligate
15,pmet_PSII_h,PSII_hNo1,P62109,Obligate
16,pmet_PSII_h,PSII_hNo1,P62113,Obligate
17,pmet_PSII_h,PSII_hNo1,P83755,Obligate
18,pmet_PSII_h,PSII_hNo1,Q39194,Obligate
19,pmet_PSII_h,PSII_hNo1,Q39195,Obligate
20,pmet_PSII_h,PSII_hNo1,Q42029,Obligate
21,pmet_PSII_h,PSII_hNo1,Q9XF91,Obligate
22,pmet_PSII_h,PSII_hNo1,Q9XFT3,Shared
23,pmet_PSII_h,PSII_hNo2,O49347,Obligate
24,pmet_PSII_h,PSII_hNo2,P27202,Obligate
25,pmet_PSII_h,PSII_hNo2,P56761,Obligate
26,pmet_PSII_h,PSII_hNo2,P56777,Obligate
27,pmet_PSII_h,PSII_hNo2,P56778,Obligate
28,pmet_PSII_h,PSII_hNo2,P56779,Obligate
29,pmet_PSII_h,PSII_hNo2,P56780,Obligate
30,pmet_PSII_h,PSII_hNo2,P56781,Obligate
31,pmet_PSII_h,PSII_hNo2,P56782,Obligate
32,pmet_PSII_h,PSII_hNo2,P56790,Obligate
33,pmet_PSII_h,PSII_hNo2,P60129,Obligate
34,pmet_PSII_h,PSII_hNo2,P61839,Obligate
35,pmet_PSII_h,PSII_hNo2,P62095,Obligate
36,pmet_PSII_h,PSII_hNo2,P62100,Obligate
37,pmet_PSII_h,PSII_hNo2,P62109,Obligate
38,pmet_PSII_h,PSII_hNo2,P62113,Obligate
39,pmet_PSII_h,PSII_hNo2,P83755,Obligate
40,pmet_PSII_h,PSII_hNo2,Q39194,Obligate
41,pmet_PSII_h,PSII_hNo2,Q39195,Obligate
42,pmet_PSII_h,PSII_hNo2,Q42029,Obligate
43,pmet_PSII_h,PSII_hNo2,Q9XF91,Obligate
44,pmet_PSII_h,PSII_hNo2,Q9XFT3,Shared
45,pmet_PSII_h,PSII_hNo2,Q9S841,Shared
46,pmet_PSII_h,PSII_hNo3,O49347,Obligate
47,pmet_PSII_h,PSII_hNo3,P23321,Shared
48,pmet_PSII_h,PSII_hNo3,P27202,Obligate
49,pmet_PSII_h,PSII_hNo3,P56761,Obligate
50,pmet_PSII_h,PSII_hNo3,P56777,Obligate
51,pmet_PSII_h,PSII_hNo3,P56778,Obligate
52,pmet_PSII_h,PSII_hNo3,P56779,Obligate
53,pmet_PSII_h,PSII_hNo3,P56780,Obligate
54,pmet_PSII_h,PSII_hNo3,P56781,Obligate
55,pmet_PSII_h,PSII_hNo3,P56782,Obligate
56,pmet_PSII_h,PSII_hNo3,P56790,Obligate
57,pmet_PSII_h,PSII_hNo3,P60129,Obligate
58,pmet_PSII_h,PSII_hNo3,P61839,Obligate
59,pmet_PSII_h,PSII_hNo3,P62095,Obligate
60,pmet_PSII_h,PSII_hNo3,P62100,Obligate
61,pmet_PSII_h,PSII_hNo3,P62109,Obligate
62,pmet_PSII_h,PSII_hNo3,P62113,Obligate
63,pmet_PSII_h,PSII_hNo3,P83755,Obligate
64,pmet_PSII_h,PSII_hNo3,Q39194,Obligate
65,pmet_PSII_h,PSII_hNo3,Q39195,Obligate
66,pmet_PSII_h,PSII_hNo3,Q42029,Obligate
67,pmet_PSII_h,PSII_hNo3,Q9XF91,Obligate
68,pmet_PSII_h,PSII_hNo3,Q41932,Shared
69,pmet_PSII_h,PSII_hNo4,O49347,Obligate
70,pmet_PSII_h,PSII_hNo4,P27202,Obligate
71,pmet_PSII_h,PSII_hNo4,P56761,Obligate
72,pmet_PSII_h,PSII_hNo4,P56777,Obligate
73,pmet_PSII_h,PSII_hNo4,P56778,Obligate
74,pmet_PSII_h,PSII_hNo4,P56779,Obligate
75,pmet_PSII_h,PSII_hNo4,P56780,Obligate
76,pmet_PSII_h,PSII_hNo4,P56781,Obligate
77,pmet_PSII_h,PSII_hNo4,P56782,Obligate
78,pmet_PSII_h,PSII_hNo4,P56790,Obligate
79,pmet_PSII_h,PSII_hNo4,P60129,Obligate
80,pmet_PSII_h,PSII_hNo4,P61839,Obligate
81,pmet_PSII_h,PSII_hNo4,P62095,Obligate
82,pmet_PSII_h,PSII_hNo4,P62100,Obligate
83,pmet_PSII_h,PSII_hNo4,P62109,Obligate
84,pmet_PSII_h,PSII_hNo4,P62113,Obligate
85,pmet_PSII_h,PSII_hNo4,P83755,Obligate
86,pmet_PSII_h,PSII_hNo4,Q39194,Obligate
87,pmet_PSII_h,PSII_hNo4,Q39195,Obligate
88,pmet_PSII_h,PSII_hNo4,Q42029,Obligate
89,pmet_PSII_h,PSII_hNo4,Q9XF91,Obligate
90,pmet_PSII_h,PSII_hNo4,Q9S841,Shared
91,pmet_PSII_h,PSII_hNo4,Q41932,Shared
92,pmet_PSI_h,PSI_hNo1,P49107,Obligate
93,pmet_PSI_h,PSI_hNo1,P56766,Obligate
94,pmet_PSI_h,PSI_hNo1,P56767,Obligate
95,pmet_PSI_h,PSI_hNo1,P56768,Obligate
96,pmet_PSI_h,PSI_hNo1,P56769,Obligate
97,pmet_PSI_h,PSI_hNo1,P62090,Obligate
98,pmet_PSI_h,PSI_hNo1,Q8LCA1,Obligate
99,pmet_PSI_h,PSI_hNo1,Q949Q5,Obligate
100,pmet_PSI_h,PSI_hNo1,Q9S7H1,Shared
101,pmet_PSI_h,PSI_hNo1,Q9S7N7,Obligate
102,pmet_PSI_h,PSI_hNo1,Q9S831,Shared
103,pmet_PSI_h,PSI_hNo1,Q9SHE8,Obligate
104,pmet_PSI_h,PSI_hNo1,Q9SUI4,Obligate
105,pmet_PSI_h,PSI_hNo1,Q9SUI5,Obligate
106,pmet_PSI_h,PSI_hNo1,Q9SUI7,Shared
107,pmet_PSI_h,PSI_hNo2,P49107,Obligate
108,pmet_PSI_h,PSI_hNo2,P56766,Obligate
109,pmet_PSI_h,PSI_hNo2,P56767,Obligate
110,pmet_PSI_h,PSI_hNo2,P56768,Obligate
111,pmet_PSI_h,PSI_hNo2,P56769,Obligate
112,pmet_PSI_h,PSI_hNo2,P62090,Obligate
113,pmet_PSI_h,PSI_hNo2,Q8LCA1,Obligate
114,pmet_PSI_h,PSI_hNo2,Q949Q5,Obligate
115,pmet_PSI_h,PSI_hNo2,Q9S7N7,Obligate
116,pmet_PSI_h,PSI_hNo2,Q9S831,Shared
117,pmet_PSI_h,PSI_hNo2,Q9SHE8,Obligate
118,pmet_PSI_h,PSI_hNo2,Q9SUI4,Obligate
119,pmet_PSI_h,PSI_hNo2,Q9SUI5,Obligate
120,pmet_PSI_h,PSI_hNo2,Q9SUI7,Shared
121,pmet_PSI_h,PSI_hNo2,Q9SA56,Shared
122,pmet_PSI_h,PSI_hNo3,P49107,Obligate
123,pmet_PSI_h,PSI_hNo3,P56766,Obligate
124,pmet_PSI_h,PSI_hNo3,P56767,Obligate
125,pmet_PSI_h,PSI_hNo3,P56768,Obligate
126,pmet_PSI_h,PSI_hNo3,P56769,Obligate
127,pmet_PSI_h,PSI_hNo3,P62090,Obligate
128,pmet_PSI_h,PSI_hNo3,Q8LCA1,Obligate
129,pmet_PSI_h,PSI_hNo3,Q949Q5,Obligate
130,pmet_PSI_h,PSI_hNo3,Q9S7H1,Shared
131,pmet_PSI_h,PSI_hNo3,Q9S7N7,Obligate
132,pmet_PSI_h,PSI_hNo3,Q9SHE8,Obligate
133,pmet_PSI_h,PSI_hNo3,Q9SUI4,Obligate
134,pmet_PSI_h,PSI_hNo3,Q9SUI5,Obligate
135,pmet_PSI_h,PSI_hNo3,Q9SUI7,Shared
136,pmet_PSI_h,PSI_hNo3,Q9S714,Shared
137,pmet_PSI_h,PSI_hNo4,P49107,Obligate
138,pmet_PSI_h,PSI_hNo4,P56766,Obligate
139,pmet_PSI_h,PSI_hNo4,P56767,Obligate
140,pmet_PSI_h,PSI_hNo4,P56768,Obligate
141,pmet_PSI_h,PSI_hNo4,P56769,Obligate
142,pmet_PSI_h,PSI_hNo4,P62090,Obligate
143,pmet_PSI_h,PSI_hNo4,Q8LCA1,Obligate
144,pmet_PSI_h,PSI_hNo4,Q949Q5,Obligate
145,pmet_PSI_h,PSI_hNo4,Q9S7N7,Obligate
146,pmet_PSI_h,PSI_hNo4,Q9SHE8,Obligate
147,pmet_PSI_h,PSI_hNo4,Q9SUI4,Obligate
148,pmet_PSI_h,PSI_hNo4,Q9SUI5,Obligate
149,pmet_PSI_h,PSI_hNo4,Q9SUI7,Shared
150,pmet_PSI_h,PSI_hNo4,Q9SA56,Shared
151,pmet_PSI_h,PSI_hNo4,Q9S714,Shared
152,pmet_PSI_h,PSI_hNo5,P49107,Obligate
153,pmet_PSI_h,PSI_hNo5,P56766,Obligate
154,pmet_PSI_h,PSI_hNo5,P56767,Obligate
155,pmet_PSI_h,PSI_hNo5,P56768,Obligate
156,pmet_PSI_h,PSI_hNo5,P56769,Obligate
157,pmet_PSI_h,PSI_hNo5,P62090,Obligate
158,pmet_PSI_h,PSI_hNo5,Q8LCA1,Obligate
159,pmet_PSI_h,PSI_hNo5,Q949Q5,Obligate
160,pmet_PSI_h,PSI_hNo5,Q9S7H1,Shared
161,pmet_PSI_h,PSI_hNo5,Q9S7N7,Obligate
162,pmet_PSI_h,PSI_hNo5,Q9S831,Shared
163,pmet_PSI_h,PSI_hNo5,Q9SHE8,Obligate
164,pmet_PSI_h,PSI_hNo5,Q9SUI4,Obligate
165,pmet_PSI_h,PSI_hNo5,Q9SUI5,Obligate
166,pmet_PSI_h,PSI_hNo5,Q9SUI6,Shared
167,pmet_PSI_h,PSI_hNo6,P49107,Obligate
168,pmet_PSI_h,PSI_hNo6,P56766,Obligate
169,pmet_PSI_h,PSI_hNo6,P56767,Obligate
170,pmet_PSI_h,PSI_hNo6,P56768,Obligate
171,pmet_PSI_h,PSI_hNo6,P56769,Obligate
172,pmet_PSI_h,PSI_hNo6,P62090,Obligate
173,pmet_PSI_h,PSI_hNo6,Q8LCA1,Obligate
