,prot
A0A178UD24,"(thale cress) hypothetical protein, TRA2"
A0A178VX82,Pyruvate kinase
A0A178WJZ2,CTP synthase
A0A1P8ANY1,Semialdehyde dehydrogenase family protein
A0A1P8AW36,glutamate dehydrogenase (NADP(+))
A0A1P8B6F9,CTP synthase
A0A384K8P2,CTP synthase
A0A384KII3,Pyruvate kinase
A0A384KLZ3,"2-oxoglutarate dehydrogenase, mitochondrial"
A0A384L5D5,Pyruvate kinase
A0A5S9YI34,"2-oxoglutarate dehydrogenase, mitochondrial"
A0A654EZT9,phosphoribosylaminoimidazole carboxylase
A0A654FAY0,Pyruvate kinase
A0A654FQL5,Adenylosuccinate lyase
A1A6H3,Ribokinase
A8MR07,Pyruvate kinase
B5X574,Phosphoenolpyruvate carboxykinase (ATP) 2
B9DGD6,"Acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal"
B9DHD3,"Histidinol-phosphate aminotransferase 1, chloroplastic"
F4HUC4,Alpha carbonic anhydrase 5
F4I1A6,Probable trehalose-phosphate phosphatase C
F4I1L9,Adenylosuccinate lyase
F4I6G9,CTP synthase
F4I7I0,"Alanine aminotransferase 1, mitochondrial"
F4I8M8,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 2"
F4I8U2,"Inactive glucose-1-phosphate adenylyltransferase small subunit 2, chloroplastic"
F4IAG2,"Starch synthase 3, chloroplastic/amyloplastic"
F4IC59,transaldolase
F4IHR4,Alpha carbonic anhydrase 2
F4IW47,"Transketolase-2, chloroplastic"
F4IWV2,"2-oxoglutarate dehydrogenase, mitochondrial"
F4JGR5,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta 2
F4JIK2,Alpha carbonic anhydrase 4
F4JJJ3,"External alternative NAD(P)H-ubiquinone oxidoreductase B3, mitochondrial"
F4JWS8,"Cytochrome b-c1 complex subunit 7-2, mitochondrial"
F4KGQ0,"Fructose-bisphosphate aldolase 4, cytosolic"
O03042,Ribulose bisphosphate carboxylase large chain
O04130,"D-3-phosphoglycerate dehydrogenase 2, chloroplastic"
O04308,"Probable mitochondrial-processing peptidase subunit alpha-2, chloroplastic/mitochondrial"
O04499,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1"
O04846,"Alpha carbonic anhydrase 1, chloroplastic"
O04904,"Dihydroorotase, mitochondrial"
O04905,UMP-CMP kinase 3
O04983,"Biotin carboxylase, chloroplastic"
O22048,"Ubiquinol oxidase 1c, mitochondrial"
O22049,"Ubiquinol oxidase 2, mitochondrial"
O22229,NADPH-dependent thioredoxin reductase 3
O22241,"Arogenate dehydratase 4, chloroplastic"
O22682,"S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent), chloroplastic"
O22718,ATP-citrate synthase alpha chain protein 2
O22765,Tryptophan synthase alpha chain
O22769,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial"
O22912,Probable cytochrome c oxidase subunit 5C-1
O23254,Serine hydroxymethyltransferase 4
O23255,Adenosylhomocysteinase 1
O23324,"ATP-sulfurylase 3, chloroplastic"
O23346,"Imidazoleglycerol-phosphate dehydratase 2, chloroplastic"
O23404,"Pyruvate, phosphate dikinase 1, chloroplastic"
O23553,"Beta-amylase 3, chloroplastic"
O23653,"Aspartokinase 2, chloroplastic"
O23913,"Ubiquinol oxidase 1b, mitochondrial"
O48946,Cellulose synthase A catalytic subunit 1 [UDP-forming]
O48947,Cellulose synthase A catalytic subunit 2 [UDP-forming]
O49299,"Probable phosphoglucomutase, cytoplasmic 1"
O49347,"Photosystem II reaction center proteins PsbY, chloroplastic"
