,GeneID,UniprotID,ProteinGroupID,PG.ProteinGroups,Replicate,Accession,Relative abundance,Absolute abundance,Temperature
0,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,1,Sav.0,13.26067,408.9,17
1,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,2,Sav.0,13.40598,452.3,17
2,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,3,Sav.0,14.12105,742.4,17
3,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,4,Sav.0,13.25659,407.8,17
4,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,1,Bur.0,10.97407,83.8,17
5,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,2,Bur.0,13.12446,372.1,17
6,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,3,Bur.0,12.43436,230.6,17
7,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,4,Bur.0,11.85643,154.5,17
8,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,1,Cvi.0,8.277519,,17
9,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,2,Cvi.0,8.518981,,17
10,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,3,Cvi.0,7.559302,,17
11,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,4,Cvi.0,8.269042,,17
12,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,1,Pla.0,11.98688,169.1,17
13,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,2,Pla.0,7.172762,,17
14,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,3,Pla.0,12.07347,179.6,17
15,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,4,Pla.0,12.18083,193.5,17
16,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,1,Sav.0,13.73623,568.6,27
17,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,2,Sav.0,13.97931,672.9,27
18,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,3,Sav.0,14.41881,912.6,27
19,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,4,Sav.0,13.62144,525.1,27
20,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,1,Bur.0,14.2462,809.7,27
21,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,2,Bur.0,13.79897,593.9,27
22,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,3,Bur.0,14.65279,1073.3,27
23,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,4,Bur.0,14.21299,791.3,27
24,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,1,Cvi.0,12.91871,322.6,27
25,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,2,Cvi.0,12.69211,275.7,27
26,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,3,Cvi.0,13.10197,366.3,27
27,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,4,Cvi.0,13.46175,470.1,27
28,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,1,Pla.0,14.25993,817.4,27
29,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,2,Pla.0,13.66564,541.4,27
30,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,3,Pla.0,13.90663,639.9,27
31,AT3G03910,Q9S7A0,AT3G03910.1,AT3G03910.1,4,Pla.0,13.84118,611.5,27
32,AT4G15530,O23404,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,1,Sav.0,15.75261,,17
33,AT4G15530,O23404,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,2,Sav.0,16.02174,,17
34,AT4G15530,O23404,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,3,Sav.0,16.42357,,17
35,AT4G15530,O23404,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,4,Sav.0,16.24803,,17
36,AT4G15530,O23404,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,1,Bur.0,14.19695,,17
37,AT4G15530,O23404,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,2,Bur.0,15.16017,,17
38,AT4G15530,O23404,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,3,Bur.0,14.83547,,17
39,AT4G15530,O23404,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,4,Bur.0,14.56704,,17
40,AT4G15530,O23404,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,1,Cvi.0,12.6838,,17
41,AT4G15530,O23404,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,2,Cvi.0,12.2873,,17
42,AT4G15530,O23404,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,3,Cvi.0,12.29494,,17
