GeneID,ProteinGroupID
AT5G55450,AT5G55450.1
AT3G62530,AT3G62530.1
AT5G03350,AT5G03350.1
AT3G57240,AT3G57240.1
AT2G15130,AT2G15130.1
AT2G14610,AT2G14610.1
AT5G36210,AT5G36210.1
AT3G07470,AT3G07470.1
AT2G05380,AT2G05380.1
AT3G57260,AT3G57260.1
AT2G32080,AT2G32080.2
AT5G59670,AT5G59670.1
AT2G25450,AT2G25450.1
AT2G23600,AT2G23600.1
AT2G14440,AT2G14440.1
AT2G43570,AT2G43570.1
AT5G38900,AT5G38900.1
AT1G02930,AT1G02930.1;AT1G02930.2
AT4G31870,AT4G31870.1
AT4G24350,AT4G24350.1
AT1G33960,AT1G33960.1
AT5G07820,AT5G07820.1
AT2G42540,AT2G42540.1;AT2G42540.2
AT1G75040,AT1G75040.1
AT1G77480,AT1G77480.1
AT1G14880,AT1G14880.1
AT3G62460,AT3G62460.1
AT3G03910,AT3G03910.1
AT1G02920,AT1G02920.1
AT4G21650,AT4G21650.1
AT4G04800,AT4G04800.1
AT3G09030,AT3G09030.1
AT2G41410,AT2G41410.1
AT1G53080,AT1G53080.1
AT1G27020,AT1G27020.1
AT5G10760,AT5G10760.1
AT4G25100,AT4G25100.1;AT4G25100.2;AT4G25100.3;AT4G25100.5
AT3G50930,AT3G50930.1
AT3G51330,AT3G51330.1
AT1G15790,AT1G15790.1;AT1G15790.2
AT5G19240,AT5G19240.1
AT2G18660,AT2G18660.1
AT4G12720,AT4G12720.1;AT4G12720.2;AT4G12720.3
AT3G09060,AT3G09060.1
AT2G35820,AT2G35820.1
AT4G02520,AT4G02520.1
AT2G04450,AT2G04450.1
AT1G01560,AT1G01560.1
AT2G43820,AT2G43820.1
AT5G18470,AT5G18470.1
AT2G47130,AT2G47130.1
AT4G03050,AT4G03050.2
AT3G04720,AT3G04720.1
AT4G39230,AT4G39230.1
AT4G23670,AT4G23670.1
AT5G17220,AT5G17220.1
AT3G12500,AT3G12500.1
AT1G34760,AT1G34760.1;AT1G34760.2
AT3G15356,AT3G15356.1
AT5G15960,AT5G15960.1
AT5G52410,AT5G52410.1;AT5G52410.2
AT1G70980,AT1G70980.1
AT2G33830,AT2G33830.1;AT2G33830.2
AT2G05520,AT2G05520.2
AT4G23170,AT4G23170.1
AT1G45145,AT1G45145.1
AT1G43910,AT1G43910.1
AT4G11220,AT4G11220.1
AT3G46530,AT3G46530.1
AT2G46310,AT2G46310.1
AT5G24530,AT5G24530.1
AT1G72930,AT1G72930.1;AT1G72930.2
AT1G07320,AT1G07320.3;AT1G07320.4
AT5G52760,AT5G52760.1
AT5G15970,AT5G15970.1
AT2G46600,AT2G46600.1
AT3G60420,AT3G60420.1
AT3G51430,AT3G51430.1;AT3G51430.2
AT3G48080,AT3G48080.1
AT4G14400,AT4G14400.1
AT3G14210,AT3G14210.1
AT3G26210,AT3G26210.1
AT2G05520,AT2G05520.1
AT4G30270,AT4G30270.1
AT3G47560,AT3G47560.1;AT3G47560.2
AT4G15530,AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6
AT3G28320,AT3G28320.1
AT5G05710,AT5G05710.1
AT5G52310,AT5G52310.1
AT2G15530,AT2G15530.1;AT2G15530.2;AT2G15530.3;AT2G15530.4;AT4G34040.1
AT1G72910,AT1G72910.1
AT2G43580,AT2G43580.1
AT3G02180,AT3G02180.1;AT3G02180.2
AT1G56510,AT1G56510.1
AT5G10880,AT5G10880.1
AT1G31550,AT1G31550.1;AT1G31550.2
AT3G60450,AT3G60450.1
AT2G32030,AT2G32030.1
AT1G55265,AT1G55265.1
AT2G23120,AT2G23120.1
AT1G12200,AT1G12200.1
AT3G25760,AT3G25760.1
AT2G33380,AT2G33380.1;AT2G33380.2
AT2G36970,AT2G36970.1
AT5G23020,AT5G23020.1
AT5G63800,AT5G63800.1
AT4G28400,AT4G28400.1
AT5G41740,AT5G41740.1;AT5G41740.2
AT3G28580,AT3G28580.1
AT1G30900,AT1G30900.1
AT4G23570,AT4G23570.1;AT4G23570.2
AT5G45510,AT5G45510.1;AT5G45510.2
AT5G48900,AT5G48900.1
AT2G26560,AT2G26560.1
AT4G04020,AT4G04020.1
AT5G43910,AT5G43910.2
AT1G17860,AT1G17860.1
AT4G23160,AT4G23160.1
AT4G11060,AT4G11060.1
AT3G01520,AT3G01520.1
AT5G59320,AT5G59320.1
AT5G20830,AT5G20830.1;AT5G20830.2
AT3G22060,AT3G22060.1
AT1G69830,AT1G69830.1
AT3G11340,AT3G11340.1
AT1G08450,AT1G08450.1;AT1G08450.3
AT4G25900,AT4G25900.1
AT3G10020,AT3G10020.1;AT3G10020.2
AT3G18990,AT3G18990.1
AT3G01830,AT3G01830.1;AT3G01830.2
AT2G42590,AT2G42590.3
AT3G55170,AT3G55170.1;AT3G55170.2
AT3G26450,AT3G26450.1
AT2G43460,AT2G43460.1;AT3G59540.1
AT5G48540,AT5G48540.1
AT5G14780,AT5G14780.1
AT5G13200,AT5G13200.1
AT1G19860,AT1G19860.1
AT3G62750,AT3G62750.1
AT1G65820,AT1G65820.1;AT1G65820.2;AT1G65820.3
AT5G20230,AT5G20230.1
AT4G02610,AT4G02610.1
AT5G15870,AT5G15870.1
AT4G30690,AT4G30690.1
AT3G25770,AT3G25770.1
AT3G43270,AT3G43270.1
AT1G30540,AT1G30540.1
AT3G44860,AT3G44860.1
AT4G11850,AT4G11850.1
AT1G04990,AT1G04990.1;AT1G04990.2
AT5G64000,AT5G64000.1
AT1G69720,AT1G69720.1
AT1G54010,AT1G54010.1
AT2G31865,AT2G31865.1;AT2G31865.2
AT2G41100,AT2G41100.1;AT2G41100.4
AT3G06050,AT3G06050.1
AT2G01820,AT2G01820.1
AT4G30550,AT4G30550.1
AT5G43400,AT5G43400.1
AT3G61990,AT3G61990.1
AT1G19670,AT1G19670.1
AT1G77510,AT1G77510.1
AT5G55160,AT5G55160.1
AT1G17745,AT1G17745.1;AT1G17745.2
AT4G37560,AT4G37560.1
AT1G04280,AT1G04280.1
AT2G35190,AT2G35190.1
AT4G12390,AT4G12390.1
AT3G50950,AT3G50950.1;AT3G50950.2
AT1G21250,AT1G21250.1
AT3G56240,AT3G56240.1
AT4G32590,AT4G32590.1;AT4G32590.3
AT4G01610,AT4G01610.1;AT4G01610.2
AT2G36680,AT2G36680.1
AT1G79270,AT1G79270.1
AT2G42530,AT2G42530.1
AT3G14220,AT3G14220.1
AT1G04040,AT1G04040.1
AT1G17620,AT1G17620.1
AT5G45490,AT5G45490.1;AT5G45490.2
AT2G03980,AT2G03980.1
AT4G10500,AT4G10500.1
AT4G16800,AT4G16800.1
AT4G01870,AT4G01870.1
AT3G29110,AT3G29110.1
AT1G33600,AT1G33600.1
AT2G27190,AT2G27190.1
AT3G19010,AT3G19010.1
AT3G13790,AT3G13790.1;AT3G13790.2
AT1G07000,AT1G07000.1
AT1G02360,AT1G02360.1
AT1G17690,AT1G17690.1
AT2G03420,AT2G03420.1
AT3G51890,AT3G51890.1
AT4G21580,AT4G21580.1
AT1G20190,AT1G20190.1
AT1G21130,AT1G21130.1;AT1G21130.2
AT4G20830,AT4G20830.1;AT4G20830.2
AT5G22500,AT5G22500.1
AT2G30770,AT2G30770.1
AT2G33530,AT2G33530.1
AT5G55050,AT5G55050.1
AT5G44020,AT5G44020.1
AT1G07170,AT1G07170.1;AT1G07170.2;AT1G07170.3;AT2G30000.1
AT4G22260,AT4G22260.1
AT1G22400,AT1G22400.1
AT5G60950,AT5G60950.1
