Temperature,$n=100$,$n=1000$,$n=10000$
10,0.9455522591817959,0.9228626601626069,0.9571364179177496
11,0.9311460756989474,0.9381784204657656,0.9503738730570946
12,0.9661745395191706,0.9620742866637044,0.9584641437618491
13,0.9656632870323102,0.9676211026806244,0.9723782321949233
14,0.9440897266217674,0.9521109835084833,0.9705861199475702
15,0.9777535053318369,0.9820900500114803,0.9494731580680016
16,0.9599368439939268,0.9736291631039994,0.9811279829642938
17,0.978744808890587,0.9413256169602551,0.9856402490169753
18,0.9696149329495432,0.9617421845471571,0.9745191864676859
19,0.9670562643601636,0.9391774806264401,0.9928336324526817
20,0.9865796694438113,0.9674154023038969,0.9815436051549589
21,0.9635472958374379,0.9396296851853497,0.9821500817048148
22,0.9663039121680382,0.9768241876890447,0.9837898567742024
23,0.9549957138345091,0.9533851664164495,0.9785199952409425
24,0.97679472143046,0.9816977288563193,0.9796406324561177
25,0.978870762333986,0.934744338838612,0.9796217734501474
26,0.9654303139158237,0.9567350646080723,0.9496520881929645
27,0.9761459869795981,0.9367853184152404,0.9399617606234528
28,0.9566575171153616,0.9250722194686348,0.9553278663397278
29,0.9680564691784812,0.9734058378842207,0.9716434445786201
30,0.9406051251171587,0.9596603277563283,0.9484849777642079
31,0.9345117814934738,0.9650007313753333,0.9457251758712749
32,0.9435145975395337,0.9304710265344103,0.9524455938644981
33,0.9594385613870953,0.911218798332261,0.961013019569503
34,0.9507975324256775,0.8871171737586259,0.9601945500594412
35,0.9560347193698161,0.9435707426283266,0.9264867970731356
36,0.9054271752133011,0.9702250236327853,0.9617192484430362
37,0.9275250139536678,0.9243029650608398,0.9191983506050245
38,0.9733659116189197,0.9359458823942528,0.9784268111274285
39,0.9726539666379879,0.9350296626957424,0.9790953851498865
40,0.9630860905098232,0.956724946745213,0.9365023841537609
