,0
AT3G62530.1,ARM repeat superfamily protein
AT5G55450.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT2G25450.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G75780.1,tubulin beta-1 chain
AT3G22231.1;AT3G22235.1;AT3G22235.2,pathogen and circadian controlled 1;BEST Arabidopsis thaliana protein match is: pathogen and circadian controlled 1 (TAIR:AT3G22231.1);Has 122 Blast hits to 122 proteins in 11 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 122;Viruses - 0;Other Eukaryotes - 0 (source: NCBI BLink).;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;BEST Arabidopsis thaliana protein match is: pathogen and circadian controlled 1 (TAIR:AT3G22231.1);Has 122 Blast hits to 122 proteins in 11 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 122;Viruses - 0;Other Eukaryotes - 0 (source: NCBI BLink).
AT4G31870.1,glutathione peroxidase 7
AT3G14210.1,epithiospecifier modifier 1
AT5G03350.1,Legume lectin family protein
AT4G24350.1,Phosphorylase superfamily protein
AT4G21650.1,Subtilase family protein
AT1G45474.1;AT1G45474.2,photosystem I light harvesting complex gene 5
AT3G57240.1,"beta-1,3-glucanase 3"
AT4G16990.2,"disease resistance protein (TIR-NBS class), putative"
AT3G14920.1,Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein
AT4G12390.1,pectin methylesterase inhibitor 1
AT5G07820.1,Plant calmodulin-binding protein-related
AT1G77480.1,Eukaryotic aspartyl protease family protein
AT2G29000.1,Leucine-rich repeat protein kinase family protein
AT2G35820.1,ureidoglycolate hydrolases
AT1G66940.1;AT1G66940.2;AT1G66940.3,protein kinase-related
AT4G12510.1;AT4G12520.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G29810.1,Transcriptional coactivator/pterin dehydratase
AT1G61520.1;AT1G61520.3,photosystem I light harvesting complex gene 3
AT1G54010.1,GDSL-like Lipase/Acylhydrolase superfamily protein
AT1G19860.1,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT3G62460.1,Putative endonuclease or glycosyl hydrolase
AT3G54890.1;AT3G54890.4,photosystem I light harvesting complex gene 1
AT4G10340.1,light harvesting complex of photosystem II 5
AT1G43890.1;AT1G43890.2;AT1G43890.3,RAB GTPASE HOMOLOG B18
AT3G09030.1,BTB/POZ domain-containing protein
AT3G60420.1,Phosphoglycerate mutase family protein
AT2G44870.1,unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast;EXPRESSED IN: 22 plant structures;EXPRESSED DURING: 15 growth stages;Has 39 Blast hits to 39 proteins in 18 species: Archae - 0;Bacteria - 2;Metazoa - 0;Fungi - 0;Plants - 37;Viruses - 0;Other Eukaryotes - 0 (source: NCBI BLink).
AT1G57590.1,Pectinacetylesterase family protein
AT3G06050.1,peroxiredoxin IIF
AT2G42540.1;AT2G42540.2,cold-regulated 15a
AT1G14880.1,PLANT CADMIUM RESISTANCE 1
AT1G32920.1,unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: response to wounding;LOCATED IN: endomembrane system;EXPRESSED IN: 23 plant structures;EXPRESSED DURING: 13 growth stages;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G32928.1);Has 42 Blast hits to 42 proteins in 8 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 42;Viruses - 0;Other Eukaryotes - 0 (source: NCBI BLink).
AT3G47470.1,light-harvesting chlorophyll-protein complex I subunit A4
AT2G15530.1;AT2G15530.2;AT2G15530.3;AT2G15530.4;AT4G34040.1,RING/U-box superfamily protein
AT5G09300.1;AT5G09300.2,Thiamin diphosphate-binding fold (THDP-binding) superfamily protein
AT4G14490.1,SMAD/FHA domain-containing protein
AT3G16530.1,Legume lectin family protein
AT1G52590.1,Putative thiol-disulphide oxidoreductase DCC
AT3G04720.1,pathogenesis-related 4
AT3G62310.1,RNA helicase family protein
AT2G36970.1,UDP-Glycosyltransferase superfamily protein
AT5G41870.1,Pectin lyase-like superfamily protein
AT4G14605.1,Mitochondrial transcription termination factor family protein
AT4G16260.1,Glycosyl hydrolase superfamily protein
AT2G05380.1,glycine-rich protein 3 short isoform
AT4G14400.1,ankyrin repeat family protein
AT1G27020.1,unknown protein;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G27030.1);Has 514 Blast hits to 514 proteins in 175 species: Archae - 0;Bacteria - 311;Metazoa - 0;Fungi - 0;Plants - 65;Viruses - 0;Other Eukaryotes - 138 (source: NCBI BLink).
AT5G57290.1;AT5G57290.2;AT5G57290.3,60S acidic ribosomal protein family
AT3G56060.1,Glucose-methanol-choline (GMC) oxidoreductase family protein
AT4G16800.1,ATP-dependent caseinolytic (Clp) protease/crotonase family protein
AT1G55670.1,photosystem I subunit G
AT3G47833.1,unknown protein;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G62575.2);Has 42 Blast hits to 42 proteins in 12 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 42;Viruses - 0;Other Eukaryotes - 0 (source: NCBI BLink).
AT1G30380.1,photosystem I subunit K
AT1G02920.1,glutathione S-transferase 7
AT2G24180.1,cytochrome p450 71b6
AT4G11790.1,Pleckstrin homology (PH) domain superfamily protein
AT4G20230.1,Terpenoid cyclases/Protein prenyltransferases superfamily protein
AT3G61470.1,photosystem I light harvesting complex gene 2
AT3G50950.1;AT3G50950.2,HOPZ-ACTIVATED RESISTANCE 1
AT1G33960.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT2G20260.1,photosystem I subunit E-2
AT3G15356.1,Legume lectin family protein
AT1G19300.1,Nucleotide-diphospho-sugar transferases superfamily protein
AT1G65520.1,"delta(3), delta(2)-enoyl CoA isomerase 1"
AT1G28290.1;AT1G28290.2,arabinogalactan protein 31
AT4G35100.1;AT4G35100.2,plasma membrane intrinsic protein 3
AT3G51330.1,Eukaryotic aspartyl protease family protein
AT4G28740.1,FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast;EXPRESSED IN: 21 plant structures;EXPRESSED DURING: 13 growth stages;CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF3493 (InterPro:IPR021883);BEST Arabidopsis thaliana protein match is: tetratricopeptide repeat (TPR)-containing protein (TAIR:AT1G02910.1);Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT2G42590.3,general regulatory factor 9
AT5G05990.1,Mitochondrial glycoprotein family protein
AT1G78660.1;AT1G78660.2;AT1G78660.3,gamma-glutamyl hydrolase 1
AT3G46670.1,UDP-glucosyl transferase 76E11
AT2G26440.1,Plant invertase/pectin methylesterase inhibitor superfamily
AT4G34230.1;AT4G34230.2,cinnamyl alcohol dehydrogenase 5
AT2G29460.1,glutathione S-transferase tau 4
AT5G51140.1;AT5G51140.2,Pseudouridine synthase family protein
AT3G22850.1,Aluminium induced protein with YGL and LRDR motifs
AT4G30690.1,Translation initiation factor 3 protein
AT2G40550.1,E2F target gene 1
AT5G05890.1,UDP-Glycosyltransferase superfamily protein
AT4G30680.1,"Initiation factor eIF-4 gamma, MA3"
AT2G35780.1,serine carboxypeptidase-like 26
AT1G04110.1,Subtilase family protein
AT2G42530.1,cold regulated 15b
AT1G79590.1;AT1G79590.2,syntaxin of plants 52
AT5G09440.1,EXORDIUM like 4
AT5G30490.1;AT5G30490.2,CONTAINS InterPro DOMAIN/s: Craniofacial development protein 1/Bucentaur (InterPro:IPR011421);Has 333 Blast hits to 324 proteins in 149 species: Archae - 0;Bacteria - 18;Metazoa - 117;Fungi - 96;Plants - 49;Viruses - 0;Other Eukaryotes - 53 (source: NCBI BLink).;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: cellular_component unknown;EXPRESSED IN: 22 plant structures;EXPRESSED DURING: 13 growth stages;CONTAINS InterPro DOMAIN/s: Craniofacial development protein 1/Bucentaur (InterPro:IPR011421);Has 333 Blast hits to 324 proteins in 149 species: Archae - 0;Bacteria - 18;Metazoa - 117;Fungi - 96;Plants - 49;Viruses - 0;Other Eukaryotes - 53 (source: NCBI BLink).
AT3G54850.1,plant U-box 14
AT5G04230.1;AT5G04230.2,phenyl alanine ammonia-lyase 3
AT3G25760.1,allene oxide cyclase 1
AT4G23570.1;AT4G23570.2,phosphatase-related
AT5G52890.1;AT5G52890.2,AT hook motif-containing protein
AT4G28750.1,Photosystem I reaction centre subunit IV / PsaE protein
AT3G16190.1,Isochorismatase family protein
AT2G05520.2,glycine-rich protein 3
AT1G19670.1,chlorophyllase 1
AT1G21130.1;AT1G21130.2,O-methyltransferase family protein
AT2G18660.1,plant natriuretic peptide A
AT3G11070.1,Outer membrane OMP85 family protein
AT2G15480.1;AT2G15480.2;AT2G15490.1;AT2G15490.2;AT2G15490.3,UDP-glucosyl transferase 73B5;UDP-glucosyl transferase 73B5;UDP-glycosyltransferase 73B4;UDP-glycosyltransferase 73B4;UDP-glycosyltransferase 73B4
AT2G28900.1,outer plastid envelope protein 16-1
AT2G26400.1,acireductone dioxygenase 3
AT5G10880.1,tRNA synthetase-related / tRNA ligase-related
AT3G54200.1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
AT3G50930.1,cytochrome BC1 synthesis
AT2G26560.1,phospholipase A 2A
AT5G54270.1,light-harvesting chlorophyll B-binding protein 3
AT4G13170.1,Ribosomal protein L13 family protein
AT1G21730.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT4G09720.1;AT4G09720.3;AT4G09720.4,RAB GTPase homolog G3A
AT2G26550.1;AT2G26550.2;AT2G26550.3,heme oxygenase 2
AT3G08940.2,light harvesting complex photosystem II
AT1G15820.1,light harvesting complex photosystem II subunit 6
AT4G04320.1,malonyl-CoA decarboxylase family protein
AT2G40100.1,light harvesting complex photosystem II
AT5G25250.1,SPFH/Band 7/PHB domain-containing membrane-associated protein family
AT1G02930.1;AT1G02930.2,glutathione S-transferase 6
AT3G01500.1,carbonic anhydrase 1
AT3G56340.1,Ribosomal protein S26e family protein
AT2G27190.1,purple acid phosphatase 12
AT3G45960.1;AT3G45960.2,expansin-like A3
AT5G59900.1,Pentatricopeptide repeat (PPR) superfamily protein
AT2G15220.1,Plant basic secretory protein (BSP) family protein
AT5G61450.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT4G12880.1;AT4G12880.2,early nodulin-like protein 19
AT4G02770.1,photosystem I subunit D-1
AT1G52230.1,photosystem I subunit H2
AT5G08340.1;AT5G08340.2,Nucleotidylyl transferase superfamily protein
AT5G14780.1,formate dehydrogenase
AT3G43270.1,Plant invertase/pectin methylesterase inhibitor superfamily
AT3G21230.1,4-coumarate:CoA ligase 5
AT3G63460.2,transducin family protein / WD-40 repeat family protein
AT5G52310.1,low-temperature-responsive protein 78 (LTI78) / desiccation-responsive protein 29A (RD29A)
AT3G02180.1;AT3G02180.2,SPIRAL1-like3
AT4G02520.1,glutathione S-transferase PHI 2
AT3G61990.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
ATCG00040.1,maturase K
AT3G23660.1,Sec23/Sec24 protein transport family protein
AT1G64330.1,myosin heavy chain-related
AT3G47960.1,Major facilitator superfamily protein
AT5G17420.1,Cellulose synthase family protein
AT4G23180.1,cysteine-rich RLK (RECEPTOR-like protein kinase) 10
AT2G14610.1,pathogenesis-related gene 1
AT1G72930.1;AT1G72930.2,toll/interleukin-1 receptor-like
AT3G14840.2,Leucine-rich repeat transmembrane protein kinase
AT4G02330.1,Plant invertase/pectin methylesterase inhibitor superfamily
AT1G29910.1;AT1G29920.1,chlorophyll A/B binding protein 3;chlorophyll A/B-binding protein 2
AT1G14820.3,Sec14p-like phosphatidylinositol transfer family protein
AT4G23040.1,Ubiquitin-like superfamily protein
AT2G39850.1,Subtilisin-like serine endopeptidase family protein
AT5G01530.1,light harvesting complex photosystem II
AT5G50110.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
ATMG00160.1,cytochrome oxidase 2
AT4G39230.1,NmrA-like negative transcriptional regulator family protein
AT1G19835.1;AT1G19835.2,Plant protein of unknown function (DUF869)
AT5G28830.1,calcium-binding EF hand family protein
AT5G62000.1;AT5G62000.2;AT5G62000.3;AT5G62000.4,auxin response factor 2
AT3G29130.1;AT3G29130.2,CONTAINS InterPro DOMAIN/s: Domain of unknown function KxDL (InterPro:IPR019371);Has 135 Blast hits to 135 proteins in 54 species: Archae - 0;Bacteria - 0;Metazoa - 106;Fungi - 0;Plants - 26;Viruses - 0;Other Eukaryotes - 3 (source: NCBI BLink).;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: cellular_component unknown;CONTAINS InterPro DOMAIN/s: Domain of unknown function KxDL (InterPro:IPR019371).
AT1G53080.1,Legume lectin family protein
AT4G04020.1,fibrillin
AT1G29050.1,TRICHOME BIREFRINGENCE-LIKE 38
AT2G17380.1;AT4G35410.1;AT4G35410.2,associated protein 19;Clathrin adaptor complex small chain family protein;Clathrin adaptor complex small chain family protein
AT5G19240.1,Glycoprotein membrane precursor GPI-anchored
AT4G23670.1,Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT4G19880.1,Glutathione S-transferase family protein
AT3G12012.1,conserved peptide upstream open reading frame 20
AT4G31880.1;AT4G31880.2,"LOCATED IN: cytosol, chloroplast;EXPRESSED IN: 24 plant structures;EXPRESSED DURING: 14 growth stages;BEST Arabidopsis thaliana protein match is: Tudor/PWWP/MBT superfamily protein (TAIR:AT1G15940.1);Has 137162 Blast hits to 70781 proteins in 2973 species: Archae - 289;Bacteria - 24182;Metazoa - 56725;Fungi - 20130;Plants - 6559;Viruses - 758;Other Eukaryotes - 28519 (source: NCBI BLink).;LOCATED IN: cytosol;EXPRESSED IN: 24 plant structures;EXPRESSED DURING: 14 growth stages;BEST Arabidopsis thaliana protein match is: Tudor/PWWP/MBT superfamily protein (TAIR:AT1G15940.1)."
AT5G03630.1,Pyridine nucleotide-disulphide oxidoreductase family protein
AT1G62480.1,Vacuolar calcium-binding protein-related
AT2G03140.1;AT2G03140.2,alpha/beta-Hydrolases superfamily protein
AT5G55050.1,GDSL-like Lipase/Acylhydrolase superfamily protein
AT3G61870.1;AT3G61870.2,"unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast, chloroplast inner membrane, chloroplast envelope;EXPRESSED IN: 23 plant structures;EXPRESSED DURING: 14 growth stages;Has 200 Blast hits to 200 proteins in 73 species: Archae - 0;Bacteria - 112;Metazoa - 0;Fungi - 0;Plants - 53;Viruses - 0;Other Eukaryotes - 35 (source: NCBI BLink).;unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast, chloroplast inner membrane;EXPRESSED IN: 23 plant structures;EXPRESSED DURING: 14 growth stages;Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798;Bacteria - 22429;Metazoa - 974;Fungi - 991;Plants - 531;Viruses - 0;Other Eukaryotes - 9610 (source: NCBI BLink)."
AT5G14800.1,pyrroline-5- carboxylate (P5C) reductase
AT1G34760.1;AT1G34760.2,general regulatory factor 11
AT5G12430.1,Heat shock protein DnaJ with tetratricopeptide repeat
AT4G22240.1,Plastid-lipid associated protein PAP / fibrillin family protein
AT1G69030.1,BSD domain-containing protein
AT2G33380.1;AT2G33380.2,Caleosin-related family protein
AT5G42060.1,"DEK, chromatin associated protein"
AT1G21250.1,cell wall-associated kinase
AT1G08250.1,arogenate dehydratase 6
AT1G50510.1,indigoidine synthase A family protein
AT1G31330.1,photosystem I subunit F
AT1G73740.1,UDP-Glycosyltransferase superfamily protein
AT1G04900.1,Protein of unknown function (DUF185)
AT1G09290.1,unknown protein;Has 73 Blast hits to 71 proteins in 26 species: Archae - 0;Bacteria - 0;Metazoa - 5;Fungi - 11;Plants - 54;Viruses - 0;Other Eukaryotes - 3 (source: NCBI BLink).
AT3G28900.1,Ribosomal protein L34e superfamily protein
AT5G08300.1,"Succinyl-CoA ligase, alpha subunit"
ATCG00340.1,"Photosystem I, PsaA/PsaB protein"
AT3G09100.1;AT3G09100.2,mRNA capping enzyme family protein
AT5G47630.1;AT5G47630.2,mitochondrial acyl carrier protein 3
AT1G17860.1,Kunitz family trypsin and protease inhibitor protein
AT4G18130.1,phytochrome E
AT2G33830.1;AT2G33830.2,Dormancy/auxin associated family protein
AT3G26840.1,Esterase/lipase/thioesterase family protein
AT3G16700.1,Fumarylacetoacetate (FAA) hydrolase family
AT1G77122.1,Uncharacterised protein family UPF0090
AT5G04170.1,Calcium-binding EF-hand family protein
AT1G28330.1;AT1G28330.4,dormancy-associated protein-like 1
AT5G45780.1,Leucine-rich repeat protein kinase family protein
AT3G51730.1,saposin B domain-containing protein
AT4G30270.1,xyloglucan endotransglucosylase/hydrolase 24
